cluster index	AllFiles	sum(precursor intensity)	RTMean	RTStdErr	parent mass	ScanNumber	ProteosafeFilePath	Original_Path	internalFilename
1	all_comps_spectra_2017_11_16.mgf	0	0	0	319.045	1	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_comps_spectra_2017_11_16.mgf	spec-00000.mgf
2	all_comps_spectra_2017_11_16.mgf	0	0	0	797.47	10	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_comps_spectra_2017_11_16.mgf	spec-00000.mgf
3	all_comps_spectra_2017_11_16.mgf	0	0	0	1191.56	100	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_comps_spectra_2017_11_16.mgf	spec-00000.mgf
4	all_comps_spectra_2017_11_16.mgf	0	0	0	727.203	1000	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_comps_spectra_2017_11_16.mgf	spec-00000.mgf
5	all_comps_spectra_2017_11_16.mgf	0	0	0	925.408	1001	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_comps_spectra_2017_11_16.mgf	spec-00000.mgf
6	all_comps_spectra_2017_11_16.mgf	0	0	0	1035.47	1002	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_comps_spectra_2017_11_16.mgf	spec-00000.mgf
7	all_comps_spectra_2017_11_16.mgf	0	0	0	1812.89	1003	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_comps_spectra_2017_11_16.mgf	spec-00000.mgf
8	all_comps_spectra_2017_11_16.mgf	0	0	0	583.109	1004	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_comps_spectra_2017_11_16.mgf	spec-00000.mgf
9	all_comps_spectra_2017_11_16.mgf	0	0	0	684.103	1005	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_comps_spectra_2017_11_16.mgf	spec-00000.mgf
10	all_comps_spectra_2017_11_16.mgf	0	0	0	457.076	1006	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_comps_spectra_2017_11_16.mgf	spec-00000.mgf
11	all_comps_spectra_2017_11_16.mgf	0	0	0	839.479	1007	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_comps_spectra_2017_11_16.mgf	spec-00000.mgf
12	all_comps_spectra_2017_11_16.mgf	0	0	0	285.206	1008	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_comps_spectra_2017_11_16.mgf	spec-00000.mgf
13	all_comps_spectra_2017_11_16.mgf	0	0	0	449.071	1009	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_comps_spectra_2017_11_16.mgf	spec-00000.mgf
