#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags	internalFilename
517	M-H	53862354	1	Spectral Match to 1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14	Isolated	Data deposited by fevargas	0.0	N/A	N/A	HCD	Negative	ESI	452.279	lib-00024.mgf	Bronze	3	0.967855	3.10386	0.00140381	GNPS-NIST14-MATCHES	Data from Kevin Bush	452.279	N/A	0	9	N/A	1	452.278	specs_ms.pklbin	CCMSLIB00003137341	1.00019e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
319	[M+H]	28288-98-4	1	ReSpect:PT209140 Isorhamnetin-3-Glucoside-4'-Glucoside|Isor-3-Glc-4'-Glc|Isorhamnetin 3,4'-diglucoside|Dactylin|Dactilin	Isolated	ReSpect	0.0	N/A	N/A	LC-Q-TOF/MS	Positive	ESI	623.161	lib-00007.mgf	Bronze	3	0.965211	0.391778	0.000244141	RESPECT	Putative ReSpect Match	623.161	N/A	0	7	c	1	623.161	specs_ms.pklbin	CCMSLIB00000222438	3.94118e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
784	[M+H]	20316-62-5	1	ReSpect:PT209253 Kaempferol-3-Glucoside-6''-p-coumaroyl|Kaem-3-Glc-6pp-p-Cou|Tiliroside|Tribuloside|kaempferol-3-O-(6-p-coumaroyl)-glucoside|Potengriffioside A|[(2R,3S,4S,5R,6S)-6-[5,7-dihydroxy-2-(4-hydroxyphenyl)-4-	Isolated	ReSpect	0.0	1/C30H26O13/c31-16-6-1-14(2-7-16)3-10-22(35)40-13-21-24(36)26(38)27(39)30(42-21)43-29-25(37)23-19(34)11-18(33)12-20(23)41-28(29)15-4-8-17(32)9-5-15/h1-12,21,24,26-27,30-34,36,38-39H,13H2/b10-3+/t21-,24-,26+,27-,30+/m1/s1	N/A	LC-Q-TOF/MS	Positive	ESI	593.13	lib-00007.mgf	Bronze	3	0.954315	1.44065	0.000854492	RESPECT	Putative ReSpect Match	593.13	N/A	0	11	C1=CC(=CC=C1C=CC(=O)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O	1	593.129	specs_ms.pklbin	CCMSLIB00000222465	477370	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
3090	M-H	35323-91-2	1	ReSpect:PT204560 (+)-Epicatechin|EpCt-pl|ent-Epicatechin|Epicatechol|(+)-3,3',4',5,7-Pentahydroxyflavan|(2S,3S)-2-(3,4-dihydroxyphenyl)chroman-3,5,7-triol	Isolated	ReSpect	0.0	1/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15-/m0/s1	N/A	qTof	Negative	LC-ESI	289.071	lib-00007.mgf	Bronze	3	0.953993	1.26685	0.000366211	RESPECT	Putative ReSpect Match	289.071	N/A	0	10	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O	1	289.071	specs_ms.pklbin	CCMSLIB00000222137	5.00206e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
3256	[M+H]	482-39-3	1	ReSpect:PT209260 Kaempferol-3-Rhamnoside|Kaem-3-Rha|Afzelin|5,7-dihydroxy-2-(4-hydroxyphenyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one	Isolated	ReSpect	0.0	1/C21H20O10/c1-8-15(25)17(27)18(28)21(29-8)31-20-16(26)14-12(24)6-11(23)7-13(14)30-19(20)9-2-4-10(22)5-3-9/h2-8,15,17-18,21-25,27-28H,1H3/t8-,15-,17+,18+,21-/m0/s1	N/A	LC-Q-TOF/MS	Positive	ESI	431.098	lib-00007.mgf	Bronze	3	0.95344	1.91134	0.000823975	RESPECT	Putative ReSpect Match	431.098	N/A	0	7	CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)O)O	1	431.097	specs_ms.pklbin	CCMSLIB00000222467	2.24632e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
2935	M-H	35323-91-2	1	ReSpect:PT204560 (+)-Epicatechin|EpCt-pl|ent-Epicatechin|Epicatechol|(+)-3,3',4',5,7-Pentahydroxyflavan|(2S,3S)-2-(3,4-dihydroxyphenyl)chroman-3,5,7-triol	Isolated	ReSpect	0.0	1/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15-/m0/s1	N/A	qTof	Negative	LC-ESI	289.071	lib-00007.mgf	Bronze	3	0.953225	1.26685	0.000366211	RESPECT	Putative ReSpect Match	289.071	N/A	0	10	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O	1	289.071	specs_ms.pklbin	CCMSLIB00000222137	1.99325e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
3230	M-H	970-74-1	1	Epigallocatechin	Isolated	Denise Silva	306.074	InChI=1S/C15H14O7/c16-7-3-9(17)8-5-12(20)15(22-13(8)4-7)6-1-10(18)14(21)11(19)2-6/h1-4,12,15-21H,5H2/t12-,15-/m1/s1	N/A	qTof	Negative	DI-ESI	305.059	lib-00010.mgf	Bronze	3	0.951019	21.4082	0.00653076	GNPS-LIBRARY	Norberto Lopes	305.059	N/A	0	9	OC1=C(C[C@@H](O)[C@@H](C2=CC(O)=C(O)C(O)=C2)O3)C3=CC(O)=C1	1	305.066	specs_ms.pklbin	CCMSLIB00000081482	1.1643e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
1366	M-H	140603	1	Spectral Match to Decylbenzenesulfonic acid from NIST14	Isolated	Data deposited by mjmeehan	0.0	N/A	N/A	QqQ	Negative	ESI	297.141	lib-00024.mgf	Bronze	3	0.947784	40.26	0.0119629	GNPS-NIST14-MATCHES	Data from Kimberly Prather	297.141	N/A	0	7	N/A	1	297.153	specs_ms.pklbin	CCMSLIB00003137343	334320	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
711	M-H	970-74-1	1	Epigallocatechin	Isolated	Denise Silva	306.074	InChI=1S/C15H14O7/c16-7-3-9(17)8-5-12(20)15(22-13(8)4-7)6-1-10(18)14(21)11(19)2-6/h1-4,12,15-21H,5H2/t12-,15-/m1/s1	N/A	qTof	Negative	DI-ESI	305.059	lib-00010.mgf	Bronze	3	0.947453	21.1081	0.00643921	GNPS-LIBRARY	Norberto Lopes	305.059	N/A	0	9	OC1=C(C[C@@H](O)[C@@H](C2=CC(O)=C(O)C(O)=C2)O3)C3=CC(O)=C1	1	305.065	specs_ms.pklbin	CCMSLIB00000081482	905034	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
2784	M-H	153-18-4	-1	Rutin	Commercial	Denise Silva	610.153	InChI=1S/C27H30O16/c1-8-17(32)20(35)22(37)26(40-8)39-7-15-18(33)21(36)23(38)27(42-15)43-25-19(34)16-13(31)5-10(28)6-14(16)41-24(25)9-2-3-11(29)12(30)4-9/h2-6,8,15,17-18,20-23,26-33,35-38H,7H2,1H3/t8-,15+,17-,18 ,20 ,21-,22 ,23 ,26 ,27-/m1/s1	 	qTof	Negative	DI-ESI	609.134	lib-00010.mgf	Bronze	3	0.945295	18.537	0.0112915	GNPS-LIBRARY	Norberto Lopes	609.134	 	0	9	O=C1C2=C(C=C(C=C2OC(C3=CC=C(C(O)=C3)O)=C1O[C@@H]4[C@@H](O)[C@H](O)[C@@H](O)[C@H](CO[C@H]5O[C@H](C)[C@@H](O)[C@H](O)[C@@H]5O)O4)O)O	1	609.145	specs_ms.pklbin	CCMSLIB00000077235	3.2525e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
