"NODE1"	"NODE2"	"DeltaMZ"	"Cosine"
1005	1011	76.0058	0.776268
100	1021	298.141	0.798934
1029	103	-645.329	0.618329
1025	1034	-85.9808	0.510859
1022	1037	-384.65	0.54553
1037	1038	-225.054	0.789806
1027	1039	178.047	0.560027
1021	1049	-30.0103	0.762205
100	1049	268.13	0.741534
1017	105	-589.302	0.546037
1020	105	-56.0273	0.561898
1017	1052	-205.129	0.543321
1015	1052	200.044	0.649161
1022	1054	16.9369	0.53454
1009	1058	-312.064	0.790644
1014	1063	137.57	0.621274
1034	1063	-130.098	0.68245
1011	1066	-288.044	0.703074
1022	1066	-236.031	0.613489
1005	1066	-212.038	0.79564
1061	1067	-33.5062	0.594966
1022	1068	82.9767	0.57443
1063	1068	298.068	0.618266
1030	1072	-138.052	0.578198
1063	1074	3.98334	0.657733
1014	1074	141.554	0.696614
1011	1075	-451.119	0.50297
1005	1077	-380.068	0.651507
1011	1077	-456.073	0.626842
1075	1077	-4.95386	0.753897
1030	108	83.5494	0.718085
1072	108	221.602	0.565288
1027	1083	162.055	0.744621
1046	1085	-208.058	0.518309
1033	1085	0.983765	0.62301
1006	1086	-136.052	0.638533
1068	1086	-15.9946	0.753974
1086	109	15.9943	0.732903
1063	109	298.067	0.662842
1068	109	-0.000366211	0.871696
1031	1090	-67.0189	0.586404
1063	1091	21.9671	0.738772
1074	1091	17.9838	0.555162
1014	1091	159.538	0.626076
1015	1093	214.066	0.649956
1017	1093	-191.107	0.645524
1052	1093	14.0222	0.952334
1011	1097	-73.0366	0.672856
1086	1097	-88.0054	0.540085
1005	1097	2.96924	0.605007
1075	1097	378.083	0.722777
1077	1097	383.037	0.716957
1020	11	-138.066	0.548661
1017	11	-671.34	0.567864
105	11	-82.0382	0.934436
1093	11	-480.233	0.670315
1085	110	-146.056	0.547736
1033	110	-145.072	0.86684
1034	1100	-15.9946	0.863407
1091	1101	130.043	0.805263
1068	1101	-146.058	0.721153
1063	1101	152.01	0.81676
109	1101	-146.058	0.768059
1014	1101	289.58	0.671908
1037	1104	225.557	0.8691
1038	1104	450.611	0.688682
1054	1104	-176.03	0.625635
1022	1104	-159.093	0.600172
1025	1105	-24.9963	0.7015
1014	1106	137.571	0.534952
1074	1106	-3.98273	0.632771
1063	1106	0.000610352	0.91644
1101	1106	-152.009	0.787737
1034	1106	-130.097	0.600624
1091	1106	-21.9665	0.731597
1075	1107	152.047	0.566907
1077	1107	157.001	0.6503
1097	1107	-226.036	0.592796
1011	1107	-299.073	0.577664
1005	1107	-223.067	0.567425
108	111	-119.561	0.554187
1100	1110	-304.056	0.541242
1005	1110	-381.051	0.560971
1077	1110	-0.983887	0.600948
1107	1110	-157.985	0.838277
1034	1110	-320.051	0.64387
1104	1112	-211.567	0.668133
1038	1112	239.044	0.601581
1012	1112	130.555	0.561485
