cluster index	AllFiles	sum(precursor intensity)	RTMean	RTStdErr	parent mass	ScanNumber	ProteosafeFilePath	Original_Path	internalFilename
1	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	597.182	2089	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
2	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	275.201	2962	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
3	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	609.146	486	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
4	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	913.146	260	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
5	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	836.13	1566	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
6	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	183.14	640	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
7	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	329.232	1010	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
8	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	293.211	3136	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
9	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	760.128	2297	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
10	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	913.145	421	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
11	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	163.039	328	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
12	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	540.33	1153	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
13	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	305.066	174	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
14	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	564.33	1286	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
15	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	295.227	1215	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
16	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	761.135	265	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
17	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	293.211	855	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
18	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	463.086	116	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
19	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	387.164	652	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
20	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	341.09	1790	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
21	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	789.165	4779	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
22	all_inga_merged_spectra_2017_09_22.mgf	0	0	0	476.277	2312	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_inga_merged_spectra_2017_09_22.mgf	spec-00000.mgf
