cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	G1	G2	G3	G4	G5	G6	AllFiles	AllGroups	DefaultGroups	RTMean	RTStdErr	ProteoSAFeClusterLink	UniqueFileSourcesCount	EvenOdd	LibraryID	NumberOrganismIDs	AllOrganisms
1	1	597.182	1	597.182	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:2089###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=1	1	1	N/A	0	N/A
2	1	275.201	1	275.201	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:2962###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=2	1	0	N/A	0	N/A
3	1	609.146	1	609.146	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:486###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=3	1	1	Rutin	1	GNPS-LIBRARY;
4	1	913.146	1	913.146	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:260###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=4	1	1	Di_Gallocatechin_Type_B_Gallate_Gallate	1	PRIVATE-USER;
5	1	836.13	1	836.13	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:1566###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=5	1	0	N/A	0	N/A
6	1	183.14	1	183.14	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:640###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=6	1	0	N/A	0	N/A
7	1	329.232	1	329.232	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:1010###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=7	1	0	N/A	0	N/A
8	1	293.211	1	293.211	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:3136###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=8	1	0	N/A	0	N/A
9	1	760.128	1	760.128	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:2297###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=9	1	0	N/A	0	N/A
10	1	913.145	1	913.145	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:421###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=10	1	1	Di_Gallocatechin_Type_B_Gallate_Gallate	1	PRIVATE-USER;
11	1	163.039	1	163.039	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:328###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=11	1	1	N/A	0	N/A
12	1	540.33	1	540.33	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:1153###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=12	1	1	N/A	0	N/A
13	1	305.066	1	305.066	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:174###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=13	1	1	Epigallocatechin	1	GNPS-LIBRARY;
14	1	564.33	1	564.33	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:1286###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=14	1	1	N/A	0	N/A
15	1	295.227	1	295.227	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:1215###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=15	1	0	N/A	0	N/A
16	1	761.135	1	761.135	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:265###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=16	1	1	Di_Gallocatechin_Type_B_Gallate	1	PRIVATE-USER;
17	1	293.211	1	293.211	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:855###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=17	1	0	N/A	0	N/A
