cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	G1	G2	G3	G4	G5	G6	AllFiles	AllGroups	DefaultGroups	RTMean	RTStdErr	ProteoSAFeClusterLink	UniqueFileSourcesCount	EvenOdd	LibraryID	NumberOrganismIDs	AllOrganisms	componentindex
344	1	1110.98	1	1110.98	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:282###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=344	1	1	N/A	0	N/A	1
345	1	1756.79	1	1756.79	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:1672###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=345	1	0	N/A	0	N/A	-1
346	1	963.937	1	963.937	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:230###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=346	1	0	N/A	0	N/A	1
347	1	1032.44	1	1032.44	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:1241###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=347	1	0	N/A	0	N/A	-1
340	1	1044.95	1	1044.95	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:234###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=340	1	1	N/A	0	N/A	1
341	1	1222.54	1	1222.54	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:1142###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=341	1	0	N/A	0	N/A	1
342	1	1185.54	1	1185.54	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:413###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=342	1	1	N/A	0	N/A	1
343	1	1067.47	1	1067.47	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:246###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=343	1	1	N/A	0	N/A	1
2918	1	1070.49	1	1070.49	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:1834###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=2918	1	0	N/A	0	N/A	-1
348	1	1178.54	1	1178.54	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:2041###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=348	1	0	N/A	0	N/A	1
349	1	1177.54	1	1177.54	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:1443###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=349	1	1	N/A	0	N/A	1
3002	1	601.119	1	601.119	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:1251###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=3002	1	1	N/A	0	N/A	1
2919	1	1066.97	1	1066.97	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:4107###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=2919	1	1	N/A	0	N/A	1
1653	1	1419.66	1	1419.66	0	1	0	0	0	0	0	all_inga_merged_spectra_2017_09_22.mgf:2913###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3166288305794363aa9b69b6afbcf36d&view=cluster_details&protein=1653	1	1	N/A	0	N/A	-1
