cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	G1	G2	G3	G4	G5	G6	AllFiles	AllGroups	DefaultGroups	RTMean	RTStdErr	ProteoSAFeClusterLink	UniqueFileSourcesCount	EvenOdd	LibraryID	NumberOrganismIDs	AllOrganisms
1	1	319.045	1	319.045	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:1###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=1	1	1	Di_Hydro_Myricetin	1	PRIVATE-USER;
2	1	797.47	1	797.47	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:10###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=2	1	0	N/A	0	N/A
3	1	1191.56	1	1191.56	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:100###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=3	1	1	N/A	0	N/A
4	1	727.203	1	727.203	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:1000###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=4	1	1	Catechin_Coumarate_Coumarate_Deoxyhexose	1	PRIVATE-USER;
5	1	925.408	1	925.408	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:1001###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=5	1	1	N/A	0	N/A
6	1	1035.47	1	1035.47	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:1002###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=6	1	1	N/A	0	N/A
7	1	1812.89	1	1812.89	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:1003###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=7	1	0	N/A	0	N/A
8	1	583.109	1	583.109	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:1004###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=8	1	1	N/A	0	N/A
9	1	684.103	1	684.103	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:1005###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=9	1	0	N/A	0	N/A
10	1	457.076	1	457.076	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:1006###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=10	1	1	Gallocatechin_Gallate	1	PRIVATE-USER;
11	1	839.479	1	839.479	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:1007###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=11	1	0	N/A	0	N/A
12	1	285.206	1	285.206	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:1008###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=12	1	0	N/A	0	N/A
13	1	449.071	1	449.071	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:1009###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=13	1	1	ReSpect:PT209300 Myricetin-3-Xyloside|Myrc-3-Xyl	1	RESPECT;
14	1	1125.51	1	1125.51	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:101###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=14	1	1	N/A	0	N/A
15	1	277.217	1	277.217	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:1010###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=15	1	0	N/A	0	N/A
16	1	608.097	1	608.097	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:1011###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=16	1	0	N/A	0	N/A
