cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	G1	G2	G3	G4	G5	G6	AllFiles	AllGroups	DefaultGroups	RTMean	RTStdErr	ProteoSAFeClusterLink	UniqueFileSourcesCount	EvenOdd	LibraryID	NumberOrganismIDs	AllOrganisms	componentindex
344	1	900.902	1	900.902	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:1360###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=344	1	1	N/A	0	N/A	-1
345	1	1290.65	1	1290.65	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:1361###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=345	1	1	N/A	0	N/A	1
346	1	455.134	1	455.134	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:1362###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=346	1	1	N/A	0	N/A	1
347	1	365.181	1	365.181	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:1363###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=347	1	1	N/A	0	N/A	-1
340	1	1043.96	1	1043.96	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:1356###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=340	1	0	N/A	0	N/A	1
341	1	1101.98	1	1101.98	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:1357###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=341	1	0	N/A	0	N/A	1
342	1	371.098	1	371.098	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:1358###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=342	1	1	randioside	1	null;	1
343	1	435.128	1	435.128	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:136###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=343	1	1	Spectral Match to Naringenin-7-O-glucoside from NIST14	1	GNPS-NIST14-MATCHES;	1
2918	1	1273.36	1	1273.36	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:610###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=2918	1	1	N/A	0	N/A	1
348	1	1542.76	1	1542.76	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:1364###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=348	1	0	N/A	0	N/A	1
349	1	762.138	1	762.138	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:1365###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=349	1	0	N/A	0	N/A	1
3002	1	457.077	1	457.077	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:697###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=3002	1	1	NCGC00164319-09![(2R,3R)-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2H-chromen-3-yl] 3,4,5-trihydroxybenzoate	1	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_NEGATIVE;	1
2919	1	1064.97	1	1064.97	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:611###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=2919	1	1	N/A	0	N/A	1
1653	1	517.206	1	517.206	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:2873###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=1653	1	1	N/A	0	N/A	1
2318	1	1059.22	1	1059.22	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:390###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=2318	1	1	N/A	0	N/A	1
2319	1	639.134	1	639.134	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:3901###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=2319	1	1	Nelumbosid	1	PRIVATE-USER;	1
2316	1	869.25	1	869.25	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:3896###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=2316	1	1	N/A	0	N/A	1
2317	1	993.469	1	993.469	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:39###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=2317	1	1	N/A	0	N/A	1
2314	1	1056.56	1	1056.56	0	1	0	0	0	0	0	all_comps_spectra_2017_11_16.mgf:3892###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=02dbde45f8af4204a9631589440cf5d7&view=cluster_details&protein=2314	1	1	N/A	0	N/A	1
