#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags
1	M-H	N/A	-1	Di_Hydro_Myricetin	Other	GCYounkin	320.053	N/A	N/A	qTof	Negative	LC-ESI	319.046	lib-00027.mgf	Bronze	3	0.456821	2.20001	0.000701904	PRIVATE-USER	TAKursar	319.046	N/A	0	6	c12c(c(cc(c1)O)O)C(=O)C(C(O2)c1cc(c(c(c1)O)O)O)O	1	319.045	spectra/specs_ms.pklbin	CCMSLIB00001057317	1.4202e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
10	M-H	N/A	-1	Gallocatechin_Gallate	Other	GCYounkin	458.085	N/A	N/A	qTof	Negative	LC-ESI	457.078	lib-00027.mgf	Bronze	3	0.437806	3.53864	0.00161743	PRIVATE-USER	TAKursar	457.078	N/A	0	6	c12c(c(cc(c1)O)O)CC(C(O2)c1cc(c(c(c1)O)O)O)OC(=O)c1cc(c(c(c1)O)O)O	1	457.076	spectra/specs_ms.pklbin	CCMSLIB00001056954	17812	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1010	M-H	N/A	-1	Di_Gallocatechin_Type_B	Other	GCYounkin	610.132	N/A	N/A	qTof	Negative	LC-ESI	609.125	lib-00027.mgf	Bronze	3	0.465864	1.70342	0.0010376	PRIVATE-USER	TAKursar	609.125	N/A	0	8	c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(c(c1)O)O)O)O)c1c2c(c(cc1O)O)CC(C(O2)c1cc(c(c(c1)O)O)O)O	1	609.124	spectra/specs_ms.pklbin	CCMSLIB00001056858	114644	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1016	M-H	n/a	1	NCGC00384958-01!2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5S)-4-hydroxy-5-(hydroxymethyl)-3-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyoxolan-2-yl]oxychromen-4-one	isolated	lfnothias	566.127	InChI=1S/C25H26O15/c26-6-15-18(33)23(40-24-20(35)17(32)13(31)7-36-24)25(38-15)39-22-19(34)16-12(30)4-9(27)5-14(16)37-21(22)8-1-2-10(28)11(29)3-8/h1-5,13,15,17-18,20,23-33,35H,6-7H2/t13-,15+,17+,18+,20-,23-,24+,25+/m1/s1	N/A	Maxis II HD Q-TOF Bruker	negative	LC-ESI	565.12	lib-00017.mgf	Gold	1	0.867512	0.324012	0.000183105	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_NEGATIVE	Jadhav/Dorrestein	565.12	n/a	0	8	OC[C@@H]1O[C@@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C4=CC(O)=C(O)C=C4)[C@H](O[C@@H]5OC[C@@H](O)[C@H](O)[C@H]5O)[C@H]1O	1	565.12	spectra/specs_ms.pklbin	CCMSLIB00000845986	7.6359e+06	UPDATE-SINGLE-ANNOTATED-GOLD	 
1017	M-H	n/a	1	NCGC00169547-02!3-[3-[(2R,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one	isolated	lfnothias	596.138	InChI=1S/C26H28O16/c27-6-15-17(33)19(35)22(42-25-23(36)26(37,7-28)8-38-25)24(40-15)41-21-18(34)16-13(32)4-10(29)5-14(16)39-20(21)9-1-2-11(30)12(31)3-9/h1-5,15,17,19,22-25,27-33,35-37H,6-8H2/t15?,17?,19?,22?,23-,24?,25+,26+/m0/s1	N/A	Maxis II HD Q-TOF Bruker	negative	LC-ESI	595.131	lib-00017.mgf	Gold	1	0.932468	2.35882	0.00140381	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_NEGATIVE	Jadhav/Dorrestein	595.131	n/a	0	9	OCC1OC(OC2=C(OC3=C(C2=O)C(O)=CC(O)=C3)C4=CC(O)=C(O)C=C4)C(O[C@H]5OC[C@](O)(CO)[C@H]5O)C(O)C1O	1	595.13	spectra/specs_ms.pklbin	CCMSLIB00000846303	8.36116e+06	UPDATE-SINGLE-ANNOTATED-GOLD	 
104	M-H	N/A	-1	Gallocatechin_Gallate_Gallate_Gallate	Other	GCYounkin	762.107	N/A	N/A	qTof	Negative	LC-ESI	761.1	lib-00027.mgf	Bronze	3	0.590055	1.60387	0.0012207	PRIVATE-USER	TAKursar	761.1	N/A	0	6	c12c(c(cc(c1)O)O)CC(C(O2)c1cc(c(c(c1)O)O)O)OC(=O)c1cc(c(c(c1)O)O)OC(=O)c1cc(c(c(c1)O)O)OC(=O)c1cc(c(c(c1)O)O)O	1	761.098	spectra/specs_ms.pklbin	CCMSLIB00001057969	682716	UPDATE-SINGLE-ANNOTATED-BRONZE	 
105	M-H	N/A	-1	Afzelechin_Catechin_Type_B_Hexose	Other	GCYounkin	724.2	N/A	N/A	qTof	Negative	LC-ESI	723.193	lib-00027.mgf	Bronze	3	0.306075	1.43475	0.0010376	PRIVATE-USER	TAKursar	723.193	N/A	0	7	c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(cc1)O)O)O)c1c2c(c(cc1O)OC1C(O)OC(C(C1O)O)CO)CC(C(O2)c1ccc(cc1)O)O	1	723.192	spectra/specs_ms.pklbin	CCMSLIB00001056353	1.88282e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1051	M-H	N/A	-1	Catechin_Coumarate_Coumarate_Hexose	Other	GCYounkin	744.205	N/A	N/A	qTof	Negative	LC-ESI	743.198	lib-00027.mgf	Bronze	3	0.333698	0	0	PRIVATE-USER	TAKursar	743.198	N/A	0	7	c12c(c(cc(c1)O)O)CC(C(O2)c1ccc(c(c1)O)O)OC(=O)/C=C/c1ccc(cc1)OC(=O)/C=C/c1ccc(cc1)OC1OC(C(C(C1O)O)O)CO	1	743.198	spectra/specs_ms.pklbin	CCMSLIB00001055633	9.08636e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1057	M-H	N/A	-1	"(+)-epigallocatechin-(2alpha?O?7,4alpha?8)-(+)-gallocatechin|ephedrannin_D7"	Other	GCYounkin	608.117	N/A	N/A	qTof	Negative	LC-ESI	607.109	lib-00025.mgf	Bronze	3	0.298922	2.61389	0.00158691	null	TAKursar	607.109	N/A	0	8	[C@@]12(c3c([H])c(O[H])c(O[H])c(O[H])c3[H])[C@@]([H])(O[H])[C@@]([H])(c(c(O[H])c([H])c(O[H])c4[H])c4O1)c(c5c(C([H])([H])[C@]([H])(O[H])[C@@]([H])(c6c([H])c(O[H])c(O[H])c(O[H])c6[H])O5)c(O[H])c7[H])c7O2	1	607.108	spectra/specs_ms.pklbin	CCMSLIB00001192218	646062	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1059	[M+H]	578-74-5	1	ReSpect:PT204130 apigenin-7-O-glucoside|Apig-7-Glc|Apigetrin|Cossmetin|Cosmosiine|Cosmosioside|Apigenin 7-O-beta-D-glucopyranoside|7-O-beta-D-Glucosyl-5,7,4'-trihydroxyflavone|7-(beta-D-Glucopyranosyloxy)-5-hydroxy-2-	Isolated	ReSpect	0.0	1/C21H20O10/c22-8-16-18(26)19(27)20(28)21(31-16)29-11-5-12(24)17-13(25)7-14(30-15(17)6-11)9-1-3-10(23)4-2-9/h1-7,16,18-24,26-28H,8H2/t16-,18-,19+,20-,21-/m1/s1	N/A	LC-Q-TOF/MS	Positive	ESI	431.098	lib-00007.mgf	Bronze	3	0.915675	0.566323	0.000244141	RESPECT	Putative ReSpect Match	431.098	N/A	0	7	C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O	1	431.098	spectra/specs_ms.pklbin	CCMSLIB00000222061	666723	UPDATE-SINGLE-ANNOTATED-BRONZE	 
