feature_number,rt,mz
1,1.346400,99.044400
2,5.702163,125.023641
3,10.195979,137.023510
4,1.351250,143.034350
5,7.510455,163.039349
6,6.748044,165.018665
7,6.466149,167.034378
8,7.150936,179.034225
9,1.380200,187.023900
10,4.463385,219.065726
11,4.963713,221.045352
12,1.379300,226.986700
13,7.960877,245.081726
14,7.329525,259.060494
15,4.956759,261.076115
16,7.203410,275.055229
17,12.933453,285.039602
18,11.066158,287.018934
19,20.250963,287.222035
20,10.942644,288.025378
21,9.634351,289.070651
22,10.463215,303.049764
23,10.549504,304.053382
24,8.469910,305.065988
25,7.009811,306.069155
26,12.251177,315.013327
27,11.032032,316.020962
28,11.465966,317.028683
29,6.479475,325.026625
30,7.537930,327.049218
31,10.062141,331.044710
32,22.415190,382.985011
33,1.344700,383.978100
34,8.959204,387.164789
35,5.327006,389.018356
36,1.352100,397.037500
37,5.331772,403.983133
38,25.544878,410.101734
39,2.972895,411.022607
40,1.343000,413.002500
41,7.429235,423.070407
42,8.282102,425.086471
43,1.351250,427.967200
44,19.730700,428.974867
45,10.174280,435.091820
46,10.501848,439.065715
47,9.984480,441.081333
48,11.994715,447.092172
49,30.139115,452.277569
50,20.082000,452.384700
51,8.685700,459.150700
52,10.807441,461.071109
53,10.773489,462.077400
54,11.265138,463.086996
55,11.129642,464.090532
56,10.227016,465.099191
57,29.045081,476.277433
58,9.322059,477.066062
59,11.264114,477.102705
60,9.167500,478.069967
61,10.288656,479.082014
62,30.264534,480.308694
63,8.293144,481.097739
64,30.253799,481.312354
65,10.963800,491.083000
66,12.462200,492.086800
67,10.282022,493.097811
68,10.509200,494.100467
69,11.674340,495.110760
70,9.590285,497.088617
71,10.776482,498.093757
72,27.731302,502.293238
73,29.149161,504.308609
74,29.170040,505.312231
75,11.775750,531.170800
76,30.256276,540.329844
77,10.940473,547.039814
78,10.950008,562.003906
79,27.730055,562.314433
80,10.940676,563.009774
81,29.139177,564.329779
82,29.172849,565.333437
83,11.926245,593.128845
