compound_number,feature_number,TIC,mz,rt
1,466,1809739.859840,319.045218,8.268367
1,1550,1181393.751680,193.013718,8.160374
1,4247,62726.418400,125.023711,8.166244
1,4250,54083.467220,151.003156,8.168233
1,4257,134330.477720,175.003139,8.166739
1,4259,275970.406227,178.998027,8.292558
1,4265,29869.659653,180.002333,8.164994
1,4266,83803.309653,181.013372,8.168994
1,4267,33404.785880,191.034394,8.173461
1,4274,115202.667813,194.017222,8.162744
1,4277,15822.913627,195.023350,8.164006
1,4278,63011.581427,215.034450,8.161256
1,4281,6466.654740,231.029531,8.147623
1,4282,33506.307140,233.045022,8.170317
1,4284,104784.842593,257.044983,8.164478
1,4294,35416.769333,275.054978,8.161800
1,4299,9524.768280,283.024285,8.153838
1,4309,67683.158593,291.050014,8.301489
1,4314,7718.247427,299.019113,8.144862
1,4317,530421.467807,301.033919,8.161511
1,4319,84176.719507,302.037694,8.164478
1,4321,7151.419140,303.039862,8.147838
1,4331,1071834.637180,317.029467,8.155839
1,4336,180461.326153,318.032589,8.158922
1,4343,299121.835180,320.048183,8.160811
1,4346,42450.406340,321.050006,8.158333
1,4349,370704.344673,335.039628,8.156256
1,4350,59223.020280,336.042856,8.156006
1,4351,3539.194700,337.044825,8.126138
1,4352,12841.307260,341.026591,8.201057
1,4358,429593.473193,353.050156,8.164367
1,4360,72257.896373,354.053383,8.157478
1,4362,5523.684160,355.057464,8.017400
1,4364,29788.039340,382.039931,8.164392
1,4516,31243.331620,635.066906,8.332132
1,4518,8586.601600,636.069977,8.363908
1,4525,121379.458620,637.087039,8.216485
1,4528,41324.599160,638.086050,8.155389
1,4530,782717.656893,639.098422,8.159617
1,4531,228931.212480,640.101750,8.156533
1,4533,59712.539980,641.104194,8.157111
1,4535,19491.311680,653.077581,8.366973
1,4537,3911.543300,654.080517,8.470056
1,4538,74190.870160,655.088100,8.365354
1,4540,28044.503007,656.096408,8.149938
1,4546,34730.523800,673.103515,8.149769
1,4547,12470.669707,674.106931,8.152954
1,4550,78168.735073,692.010306,8.167783
1,4551,51095.955820,693.015689,8.170217
1,4552,11704.214173,694.019338,8.161200
1,4567,7715.928547,955.117337,8.140513
1,4568,76773.652420,959.148711,8.155667
1,4569,40473.864947,960.151878,8.157172
1,4579,12218.804720,1012.058723,8.137869
1,4580,8821.294187,1013.065125,8.145962
1,10257,3302.980820,319.087300,8.151800
1,10258,3682.501680,319.136600,8.155400
1,10260,2717.081600,322.053900,8.151800
1,10270,9077.530700,365.049450,8.165350
1,10273,4085.425700,383.044400,8.180400
1,10283,1653.227460,436.980100,8.133900
1,10318,4051.613500,639.159100,8.167800
1,10320,8871.942700,642.107400,8.151700
1,10327,4685.233980,657.099700,8.155300
1,10332,2360.349800,671.086600,8.146400
1,10333,2405.846100,675.107000,8.150000
1,10346,2845.651160,956.120600,8.155300
1,10347,7039.690160,957.130500,8.148200
1,10348,3831.399240,958.135700,8.151800
1,10349,3340.869160,959.647800,8.151800
1,10350,11219.245320,961.154800,8.153600
1,10351,2285.803200,962.156500,8.148100
1,10352,1946.682640,973.123700,8.148100
1,10353,2832.066440,975.140500,8.148200
