compound_sample,compound_number,TIC
N12_1696,1562,71088.248199
N12_1696,1926,38210.255066
N12_1696,2178,66530.569122
N12_1696,2319,6983.938782
N12_1696,2340,65328.160492
N12_1696,2533,64532.415131
N12_1696,2534,51645.773041
N12_1696,3014,9399.487061
N12_1696,3104,3769.390533
N12_1696,3186,17123.121704
N12_1696,3222,6321.930847
N12_1696,3417,4400.556335
N12_1696,3512,5079.344269
N12_1696,3755,24525.306335
N12_1696,3780,4456.944458
N12_1696,3965,1000.714752
N12_1696,3988,2796.478485
N12_1696,4006,1876.547119
N12_1696,4061,28108.431580
N12_1696,4106,19599.538971
N12_1696,4153,127390.554199
N12_1696,4169,1638.887634
N12_1696,4189,4765.362091
N12_1696,4269,1417.662567
N12_1696,4442,6975.402588
N12_1696,4462,5215.544037
N12_1696,4510,9799.961334
N12_1696,4530,5629.345459
N12_1696,4543,5976.865936
N12_1696,4684,16076.127991
IngU_1933,61,2300733.661072
IngU_1933,73,1550234.766312
IngU_1933,216,1504127.305847
IngU_1933,251,1375785.871933
IngU_1933,291,387846.272278
IngU_1933,429,504831.550751
IngU_1933,480,135054.703781
IngU_1933,494,371824.158508
IngU_1933,604,355310.072388
IngU_1933,687,318130.592346
IngU_1933,818,256888.420670
IngU_1933,840,447452.539734
IngU_1933,848,221585.286133
IngU_1933,881,219046.387878
IngU_1933,1012,109636.938766
IngU_1933,1112,116985.598297
IngU_1933,1210,191342.789856
IngU_1933,1224,71919.149170
IngU_1933,1234,260390.129395
IngU_1933,1239,23274.733093
IngU_1933,1362,322438.491913
IngU_1933,1370,92086.820557
IngU_1933,1371,20814.423920
IngU_1933,1502,52116.112061
IngU_1933,1570,14106.717926
IngU_1933,1601,97798.337402
IngU_1933,1622,74599.380951
IngU_1933,1696,63164.056656
IngU_1933,1697,74685.383148
IngU_1933,1709,835963.527649
IngU_1933,1726,66158.439209
IngU_1933,1732,53460.327148
IngU_1933,1751,65496.140442
IngU_1933,1821,9596.628708
IngU_1933,1872,67786.166229
IngU_1933,1904,31390.610687
IngU_1933,1917,59080.007492
IngU_1933,1925,61709.573486
IngU_1933,1932,168117.886536
IngU_1933,2011,15554.670044
IngU_1933,2122,38379.247223
IngU_1933,2128,38227.832550
IngU_1933,2211,13818.863159
IngU_1933,2247,39258.090027
IngU_1933,2320,42332.926575
IngU_1933,2330,18306.244904
IngU_1933,2332,12256.577209
IngU_1933,2368,27930.342468
IngU_1933,2370,36382.595596
IngU_1933,2446,9602.180664
IngU_1933,2463,10906.232483
IngU_1933,2480,41314.932800
IngU_1933,2495,8427.780762
IngU_1933,2517,290299.265198
IngU_1933,2530,50045.451050
IngU_1933,2560,7133.430481
IngU_1933,2566,56074.524170
IngU_1933,2649,26232.162140
IngU_1933,2668,43235.843750
IngU_1933,2681,110241.483154
IngU_1933,2746,30142.314209
IngU_1933,2783,375525.193970
IngU_1933,2793,37017.059189
IngU_1933,2795,9507.839508
IngU_1933,2806,98040.119263
IngU_1933,2873,89355.747498
IngU_1933,2952,22440.106613
IngU_1933,3014,17169.428223
IngU_1933,3052,1240.427704
IngU_1933,3079,1922.316498
IngU_1933,3139,8937.571899
IngU_1933,3163,21287.039368
IngU_1933,3164,12731.943451
IngU_1933,3165,11826.399719
IngU_1933,3166,17941.583862
IngU_1933,3167,15649.345093
IngU_1933,3210,17673.167542
IngU_1933,3215,5227.043976
IngU_1933,3270,12955.365356
IngU_1933,3271,10267.538269
IngU_1933,3327,1688.433334
IngU_1933,3351,5775.289734
IngU_1933,3358,6934.044952
IngU_1933,3412,4051.440674
IngU_1933,3413,20849.748749
