compound_number,compound_sample,TIC
44,N4_1575,438675.191800
1030,LA60_616,32130.459300
1653,N23_1819,2763.459100
3848,LA8_1739,3714.478200
486,IngQ_1566,416.837600
486,IngQ_1567,221.312700
486,IngQ_1565,242.643300
241,N35_1845,167461.393200
3082,T76_2191_undiluted,3997.210100
2092,IngU_1402_2,1234.191500
3095,LA35_2174,5040.461400
2292,T72_938_2,1837.708300
3376,LA41_1411,354.083900
3791,IngQ_1571,18.646200
5088,M29_1355,308.728700
5087,T72_939_2,2168.483000
1923,T84_2398_2,2786.418400
1085,LA20b_701_2,39050.098600
352,N3_1304_MS_NEG,542.698100
3756,M26_722,1571.705600
652,M18_2161,4321.092400
41,LA13_1397,244217.223400
41,LA13_1396,243213.689700
3121,N20_2141,1138.950600
41,LA13_1394,334469.386500
1385,M40d_1487,19417.505000
88,N6_1302_MS_NEG,79767.156000
1345,LA28_1526,411.383100
5088,M29_1356,2351.602700
2838,N26_1872,5201.098200
2899,T69_1420,266.376400
2899,T69_1423,386.709700
2899,T69_1422,2002.949400
1188,N24_1354,6288.802300
3067,N9_1074_NEG_MS,6424.642200
1286,IngU_1405_2,20749.531800
1496,M71_1848_undiluted,30611.277600
71,LA33_1891,20584.346800
590,N4_1504,2446.406300
647,LA60_1578,140701.710700
2021,M8_739_2,619.087200
3123,M39b_2358,1854.238700
2989,M70_1379,278234.984200
978,N1_1311_2,30031.032900
719,N32_2192,1329.720200
4641,LA42_697,2685.602300
358,M27b_2411_2,26618.727200
928,T60_913_2,1705.859200
151,LA45_664,296820.152100
151,LA45_663,472019.514200
151,LA45_662,556457.913200
477,N35_1870,2978.871500
2779,M29_1602,362.242900
3708,M51_1904,1087.686800
619,LA22_1412,9352.039800
169,T11_1837,17221.162800
556,N1_1308_MS_NEG,28646.043700
91,LA2_628_2,3188.989600
2444,T74_1046_NEG_MS,897.287800
3422,LA35_2174,4666.216700
1896,N26_1348,5437.902700
3072,M63_784_2,30.467100
3321,LA18_672,9247.938300
2180,M51_1875,4394.252700
306,M36_2180,11626.352300
750,N5_1294_MS_NEG,217.540900
2305,M25_1824,6788.702600
4555,IngU_1406_2,43.189900
1218,N28_1251,1309.112200
3166,M29_1342,3055.415500
4426,IngC_1626,28.519400
1573,N7_1539,30981.475900
2685,T82_1463,7105.127800
2690,M61_782_2,37.895200
3439,IngC_1626,53.160800
1322,IngV_1706,441.865300
104,IngP_1570,184326.111200
1322,IngV_1705,2662.271600
3439,IngC_1625,93.024000
3228,LA59_1601,15265.769000
3529,IngU_1405_2,1303.213600
3606,T21a_1326_MS_NEG,993.851200
363,T29_2432_2,52104.305300
297,N1_1310_MS_NEG,28730.615300
3988,N37_1330,3440.035700
365,N22_1869,21223.406500
3755,LA33_1891,157.553900
4079,LA35_1363,168.178700
319,N3_1306_MS_NEG,38299.973400
1523,N4_1473,1725.507500
1523,N4_1472,2344.375800
1961,T74_1047_NEG_MS,5249.728200
4663,T71_1240_MS_NEG,161.255200
2144,N41_2182,8273.146800
2632,N6_1299_MS_NEG,1301.075500
3867,LA9_1057_undiluted,6021.717800
1859,N6_1300_MS_NEG,5336.010500
1495,M71_804_undiluted,11423.705800
4019,LA25_674,3500.081500
3375,N40_1649,5451.545500
3893,M32_1508,5327.788000
1005,M9_1684,4455.591000
2721,M31_1833,513.369600
1795,T76_2171_undiluted,13459.791900
416,N4_1473,78693.058400
96,LA19_1880,171538.209800
559,T72_939_2,4769.745600
1286,LA26_1641,3697.359700
971,T59_991_2,9199.934300
1059,IngR_1618,295.660400
116,N37_1330,1614.340900
173,T75_2179,2455.769100
421,IngMu_1605,20394.672500
421,IngMu_1607,19891.473400
421,IngMu_1608,18057.224000
4663,T71_1246_MS_NEG,145.399800
687,IngG_1707,28483.248400
3847,LA8_1443,2648.019400
1215,LA19_1880,3430.756300
4431,N23_1864,1094.878800
3621,T82_1463,66.922200
4955,LA23_1476_2,5172.698300
2137,T19_997_2,4648.406800
1215,LA18_1635,9296.165500
4002,LA33_1878,13559.302500
3325,M26_722,970.411100
734,N5_1557,5992.685300
395,T67a_1735,3829.690200
1833,N28_1251,1496.219600
395,T67a_1737,1160.540900
3433,M40b_2184,1608.195600
5227,T78_1080_NEG_MS,2311.988000
4087,T70_1897,479.956500
3454,LA59_1588,48.894000
9,LA46_1637,117778.210500
9,LA46_1636,177735.290900
1396,N14_1286_MS_NEG,1160.410700
122,T21a_1326_MS_NEG,1082.820200
693,T55_1461_3,3501.417900
4430,T51_1424,2895.034700
4430,T51_1427,1385.437100
333,IngMu_1586,730.184200
1754,IngP_1570,14744.882700
4832,M70_1812,2169.239600
853,LA32_2181,57.687400
3841,T59_991_2,4256.664500
2288,T62_1371,12522.675700
3390,T23_1429,5009.013300
502,N41_1796,202.041000
766,LA8_644_2,1261.200500
2306,N22_1802,2188.722300
188,T20_975_2,5689.818100
540,N7_1539,18447.592100
3460,T51_1427,2501.562200
687,N29_1653,1666.347300
329,LA59_1511,324100.614900
1734,LA17_705,5447.753700
687,N29_1656,1111.219700
687,N29_1657,5168.812800
687,N29_1654,7751.423700
687,N29_1655,3557.697400
2611,N25_1271_2,2296.400500
1322,LA9_695_undiluted,32327.465400
618,N4_1472,83219.270000
618,N4_1473,62276.399100
358,LA60_620_2,57376.381400
4960,N4_1575,136.453300
1047,LA8_644_2,107.421700
78,M8_738_2,1101.223800
804,LA8_1739,6331.682600
739,N12_1696,4180.407600
3956,LA8_1739,187.943600
1956,LA17_1382,14776.228300
640,T51_2396,471.323700
1865,T09_1438_2,9535.338200
3460,T51_1426,174.841600
374,IngS_2162,4764.460200
2994,N3_1303_MS_NEG,1044.091900
1267,N34_1347,6163.394700
2225,N32_1633,4925.979500
5198,LA17_705,732.415600
871,M40b_2150,33035.165200
4648,M70_1367,5708.402100
1135,IngG_1592,36377.747700
3458,M40d_1558,1021.638600
815,IngR_1617,81.534300
815,IngR_1618,107.135900
2629,M40b_2184,260.434700
2622,LA17_712,9139.948200
4909,T76_2163_undiluted,1602.429500
2861,M31_1833,53.357400
640,M40b_2184,1199.281000
1867,IngQ_1615,10867.427200
1696,N22_1822,11023.070800
1712,N4_1472,70.898100
2749,IngMu_1586,2589.005100
748,N34_2134,30534.916500
2838,N26_1339,3207.735900
2553,M26_1630,1709.485100
3809,LA44_1675,441.585500
3325,N9_1077_NEG_MS,2863.090200
4182,N1_1250,41.132500
1464,M40d_1558,23714.697800
3698,T76_2191_undiluted,2160.388200
615,T21a_1874,201053.774900
4990,N4_1473,1613.940600
1200,T70_1517,198.966700
1781,T75_2145,3092.119400
572,M61_798_2,14430.969200
4274,N46_1810,1123.790900
4274,N46_1811,2610.969000
1552,M51_1827,4024.191400
5052,M71_1848_undiluted,263.403000
1549,N65_1125_NEG_MS,163741.213000
867,M62_1798,192.750500
880,LA17_712,1512.758800
4330,LA32_1548,8.173800
1097,T68_2397,40.495600
372,LA45_662,105357.154600
372,LA45_663,78769.124200
122,N27_1803,2095.620300
1283,T18_1223_NEG_MS,199.152900
372,LA45_664,56965.758000
2264,N23_1805,5462.731200
1542,M5_735_2,1751.999700
1324,M40b_2184,50.702900
475,T57_1322_MS_NEG,594.117400
2046,T75_2154,6815.912700
3926,LA43_1477_2,9526.689000
774,N4_1504,547.102900
4050,T25_1519,185.919600
1202,LA55_1550,97.549900
398,LA43_669_2,563.026900
499,T59_985_2,3802.481300
1803,T60_2172,68400.620200
920,IngA_1677,1596.938500
1448,M25_754,603.494900
1448,M25_753,1839.673100
2040,M40a_2394_2,2887.826300
1202,IngM_1562,2492.061400
1202,IngM_1563,2056.828700
1996,M31_787,3204.738700
1522,LA28_1526,37593.522000
4145,N1_2133,2245.277400
2377,M29_1342,2275.381200
1756,LA10_1399_2,9381.247300
1076,LA9_695_undiluted,37583.379400
4645,LA22_656,782.047000
4195,N4_1455,1855.910800
721,M62_1862,3638.696900
720,M31_1828,2703.238000
1760,IngU_1406_2,5137.061600
457,N21_1851,816.018000
3918,M18_2159,586.277100
