compound_number,contaminant
773,benzenesulfonic acid
800,benzenesulfonic acid
926,benzenesulfonic acid
945,benzenesulfonic acid
1008,benzenesulfonic acid
1174,benzenesulfonic acid
1318,benzenesulfonic acid
1638,benzenesulfonic acid
1712,benzenesulfonic acid
2056,benzenesulfonic acid
2520,benzenesulfonic acid
2690,benzenesulfonic acid
2864,benzenesulfonic acid
2904,benzenesulfonic acid
3118,benzenesulfonic acid
3147,benzenesulfonic acid
3158,benzenesulfonic acid
3187,benzenesulfonic acid
3359,benzenesulfonic acid
3378,benzenesulfonic acid
3579,benzenesulfonic acid
3587,benzenesulfonic acid
3814,benzenesulfonic acid
4329,benzenesulfonic acid
4425,benzenesulfonic acid
4439,benzenesulfonic acid
4510,benzenesulfonic acid
4575,benzenesulfonic acid
