"NODE1"	"NODE2"	"DeltaMZ"	"Cosine"
202	2075	"-68.5443"	"0.509214"
1813	2075	"7.00439"	"0.620636"
1424	2075	"-23.5055"	"0.728009"
1400	2077	"177.057"	"0.536395"
2078	2078	"0.0"	"1.0"
1955	2079	"-42.0017"	"0.674179"
105	208	"41.0271"	"0.942346"
1585	208	"-0.98999"	"0.882221"
1983	208	"-132.044"	"0.783517"
128	208	"39.0198"	"0.525289"
1713	208	"-217.087"	"0.592998"
1265	208	"52.0269"	"0.637703"
116	208	"83.0347"	"0.581879"
1020	208	"-15.0002"	"0.720668"
11	208	"123.065"	"0.5985"
160	208	"-43.0336"	"0.631682"
1984	208	"-315.122"	"0.545318"
135	208	"-133.026"	"0.530623"
1301	208	"-1.02368"	"0.527224"
1678	208	"-16.9785"	"0.723891"
2080	2080	"0.0"	"1.0"
1180	2081	"-350.59"	"0.638224"
1846	2081	"-144.032"	"0.920023"
1200	2081	"71.0085"	"0.890725"
1587	2081	"-184.593"	"0.598222"
1732	2081	"12.0378"	"0.596422"
1296	2081	"-352.597"	"0.617458"
1493	2081	"-190.566"	"0.524035"
2058	2081	"-70.5073"	"0.715932"
1477	2081	"-497.636"	"0.588052"
1976	2081	"-200.587"	"0.519794"
1833	2081	"-353.604"	"0.703899"
2014	2081	"-497.636"	"0.630705"
2050	2081	"-216.544"	"0.789949"
1270	2081	"-352.596"	"0.602855"
1387	2081	"-209.575"	"0.719847"
178	2081	"-361.584"	"0.846993"
1022	2081	"-421.63"	"0.562235"
1124	2081	"-216.545"	"0.821661"
1906	2081	"-497.636"	"0.627932"
1230	2081	"-352.596"	"0.614279"
196	2081	"-352.595"	"0.568188"
1632	2081	"-277.6"	"0.606615"
1874	2081	"-432.597"	"0.780414"
1988	2081	"-201.596"	"0.558158"
1767	2081	"-70.5087"	"0.805004"
1793	2081	"-421.631"	"0.556364"
1327	2081	"-86.502"	"0.630916"
1695	2081	"-216.547"	"0.735037"
1376	2081	"-206.56"	"0.589906"
1147	2081	"-217.555"	"0.832644"
1964	2081	"-73.0207"	"0.90941"
1904	2081	"-422.574"	"0.53725"
1845	2081	"-353.604"	"0.647958"
1736	2081	"-70.5076"	"0.845841"
1104	2081	"-262.538"	"0.559844"
1311	2081	"-63.5306"	"0.715842"
1406	2081	"-336.6"	"0.606122"
1806	2081	"-64.5333"	"0.655118"
1661	2081	"2.98474"	"0.708864"
2082	2082	"0.0"	"1.0"
1128	2083	"-60.0215"	"0.784455"
1769	2085	"-78.521"	"0.645796"
1882	2086	"0"	"0.949104"
1097	2086	"72.0099"	"0.613419"
1006	2086	"-152.048"	"0.626983"
1107	2086	"298.046"	"0.606163"
1924	2086	"-1.02783"	"0.608247"
1567	2086	"-152.048"	"0.643472"
2042	2086	"-15.9945"	"0.804545"
1365	2086	"153.014"	"0.697415"
1458	2086	"304.055"	"0.686133"
1693	2086	"-1.00726"	"0.949995"
1152	2086	"-0.000183105"	"0.940008"
1971	2086	"-15.9951"	"0.839772"
1666	2086	"152.01"	"0.669131"
1556	2086	"154.017"	"0.685946"
1475	2086	"-2.01538"	"0.549521"
1428	2086	"304.056"	"0.686478"
1473	2086	"304.018"	"0.575454"
1235	2086	"-6.10352e-05"	"0.945183"
1294	2086	"152.01"	"0.795711"
1086	2086	"-15.9955"	"0.883986"
2087	2087	"0.0"	"1.0"
1630	2088	"-222.107"	"0.60025"
1093	2088	"-236.092"	"0.515626"
1266	2088	"18.024"	"0.52053"
1427	2088	"-148.072"	"0.577353"
1508	2088	"-294.09"	"0.586145"
1792	2088	"-196.099"	"0.555296"
1509	2088	"-248.086"	"0.569249"
1015	209	"-52.0862"	"0.681801"
1436	209	"-140.081"	"0.783792"
1489	209	"128.049"	"0.701369"
1523	209	"-224.137"	"0.65978"
116	209	"174.05"	"0.652867"
1093	209	"-266.152"	"0.597427"
1301	209	"89.9916"	"0.580724"
135	209	"-42.0107"	"0.854452"
