sample,compound,TIC
N12_1696,241,41685.788640
N12_1696,244,2410.901435
N12_1696,325,4340.171571
N12_1696,349,17531.640052
N12_1696,389,6418.733523
N12_1696,475,4065.827079
N12_1696,637,12967.414564
N12_1696,669,5928.068925
N12_1696,691,84025.554568
N12_1696,699,4882.307491
N12_1696,800,14036.856804
N12_1696,815,2207.425890
N12_1696,906,1652.348028
N12_1696,912,4777.033406
N12_1696,958,5962.923085
N12_1696,977,8119.286373
N12_1696,979,3666.317790
N12_1696,1008,8666.325322
N12_1696,1059,39850.506763
N12_1696,1082,4929.675935
N12_1696,1114,8075.743084
N12_1696,1138,1566.076480
N12_1696,1160,1819.697731
N12_1696,1191,2729.592729
N12_1696,1222,1819.697731
N12_1696,1293,6402.325747
N12_1696,1323,4922.909147
N12_1696,1396,32688.798900
N12_1696,1562,22196.038812
N12_1696,1564,15157.158847
N12_1696,1611,14742.609039
N12_1696,1634,6178.647078
N12_1696,1638,3560.494186
N12_1696,1675,12967.414564
N12_1696,1926,5961.857657
N12_1696,2187,8346.380363
N12_1696,2260,3908.396986
N12_1696,2288,4772.058048
N12_1696,2317,36201.273398
N12_1696,2318,17231.441651
N12_1696,2340,2201.799277
N12_1696,2533,7258.695488
N12_1696,2534,8046.389137
N12_1696,2548,6572.283858
N12_1696,2579,4882.307491
N12_1696,2689,4704.647573
N12_1696,2690,27291.713449
N12_1696,2772,2568.415439
N12_1696,2862,15157.158847
N12_1696,2864,2729.592729
N12_1696,2949,6159.152636
N12_1696,2985,2729.592729
N12_1696,3014,4340.171571
N12_1696,3084,16354.829159
N12_1696,3108,3666.317790
N12_1696,3123,3666.317790
N12_1696,3186,4065.827079
N12_1696,3187,3666.317790
N12_1696,3222,12967.414564
N12_1696,3262,1652.099294
N12_1696,3323,3490.393236
N12_1696,3404,5431.815238
N12_1696,3438,7021.198816
N12_1696,3512,4704.647573
N12_1696,3579,6572.283858
N12_1696,3587,17531.640052
N12_1696,3622,8346.380363
N12_1696,3630,7258.695488
N12_1696,3648,2401.363471
N12_1696,3661,7383.611721
N12_1696,3755,6572.283858
N12_1696,3757,2207.425890
N12_1696,3845,2729.592729
N12_1696,3863,2568.415439
N12_1696,3965,12788.345194
N12_1696,4042,3637.958976
N12_1696,4061,3908.396986
N12_1696,4062,14742.609039
N12_1696,4166,4777.033406
N12_1696,4277,4065.827079
N12_1696,4329,2201.799277
N12_1696,4343,4777.033406
N12_1696,4439,2568.415439
N12_1696,4442,12967.414564
N12_1696,4455,4065.827079
N12_1696,4510,2568.415439
N12_1696,4543,4777.033406
N12_1696,4611,12967.414564
IngU_1933,18,3607.798313
IngU_1933,55,20283.442776
IngU_1933,60,2438141.602510
IngU_1933,61,550712.851865
IngU_1933,139,77865.185741
IngU_1933,141,229874.351128
IngU_1933,150,23828.597932
IngU_1933,189,184916.969192
IngU_1933,244,599381.572574
IngU_1933,246,1561.551848
IngU_1933,324,16698.699601
IngU_1933,356,110690.242649
IngU_1933,368,42691.635084
IngU_1933,408,215168.067070
IngU_1933,429,361959.657908
IngU_1933,433,18427.870587
IngU_1933,436,54540.502698
IngU_1933,439,142617.699512
IngU_1933,441,22551.206443
IngU_1933,468,57874.392633
IngU_1933,492,91127.276949
IngU_1933,494,199636.492359
IngU_1933,570,74245.610002
IngU_1933,581,43198.041771
IngU_1933,605,3573.924930
IngU_1933,623,2033.626533
IngU_1933,639,198514.153359
IngU_1933,669,1773.399352
IngU_1933,687,95231.673579
IngU_1933,721,15491.099595
IngU_1933,729,33860.648907
IngU_1933,800,61297.921914
IngU_1933,818,13108.601513
IngU_1933,840,25052.202921
IngU_1933,848,1253678.044266
IngU_1933,898,47608.678785
IngU_1933,902,2863.018617
IngU_1933,907,11752.610613
IngU_1933,912,6268.214480
IngU_1933,953,7772.110332
IngU_1933,958,4312.635779
IngU_1933,966,112969.777847
IngU_1933,979,3844.719554
IngU_1933,985,20817.636050
IngU_1933,996,60294.470028
IngU_1933,1008,12741.473904
IngU_1933,1012,7772.793982
IngU_1933,1112,51585.359520
IngU_1933,1114,10904.350196
IngU_1933,1125,19510.003592
IngU_1933,1137,74597.303233
IngU_1933,1138,13294.105982
IngU_1933,1142,13322.787015
IngU_1933,1160,21405.426820
IngU_1933,1174,16697.672255
IngU_1933,1191,17543.271190
IngU_1933,1199,11584.152309
IngU_1933,1210,10306.058608
