compound_sample,compound_number,TIC
N12_1696,241,154876.814941
N12_1696,325,17751.369934
N12_1696,349,6014.182861
N12_1696,389,127011.290161
N12_1696,475,6107.362671
N12_1696,623,4050.113770
N12_1696,637,4977.067780
N12_1696,669,44430.129517
N12_1696,691,924323.691879
N12_1696,694,5496.762634
N12_1696,699,16663.953308
N12_1696,795,2670.870117
N12_1696,898,3289.790588
N12_1696,906,8241.113678
N12_1696,958,5505.294418
N12_1696,979,5195.668030
N12_1696,1010,585.033875
N12_1696,1037,6620.387909
N12_1696,1038,4807.169281
N12_1696,1059,90725.808289
N12_1696,1082,11445.460571
N12_1696,1104,3919.629944
N12_1696,1129,5505.294418
N12_1696,1138,13525.529663
N12_1696,1293,4933.868774
N12_1696,1317,56281.125031
N12_1696,1384,870.550690
N12_1696,1396,49016.844513
N12_1696,1562,71088.248199
N12_1696,1564,8672.978149
N12_1696,1611,19648.768738
N12_1696,1889,4620.123047
N12_1696,1926,38210.255066
N12_1696,2015,5088.007416
N12_1696,2051,4938.067780
N12_1696,2178,66530.569122
N12_1696,2187,3075.212158
N12_1696,2318,78517.949585
N12_1696,2319,6983.938782
N12_1696,2340,65328.160492
N12_1696,2438,3957.592896
N12_1696,2533,64532.415131
N12_1696,2534,51645.773041
N12_1696,2548,5254.231705
N12_1696,2579,4292.768707
N12_1696,2626,5512.195343
N12_1696,2689,2468.147308
N12_1696,2864,5512.195343
N12_1696,3014,9399.487061
N12_1696,3104,3769.390533
N12_1696,3186,17123.121704
N12_1696,3222,6321.930847
N12_1696,3417,4400.556335
N12_1696,3512,5079.344269
N12_1696,3755,24525.306335
N12_1696,3780,4456.944458
N12_1696,3965,1000.714752
N12_1696,3988,2796.478485
N12_1696,4006,1876.547119
N12_1696,4061,28108.431580
N12_1696,4106,19599.538971
N12_1696,4153,127390.554199
N12_1696,4169,1638.887634
N12_1696,4189,4765.362091
N12_1696,4269,1417.662567
N12_1696,4442,6975.402588
N12_1696,4462,5215.544037
N12_1696,4510,9799.961334
N12_1696,4530,5629.345459
N12_1696,4543,5976.865936
N12_1696,4684,16076.127991
IngU_1933,18,3424.354614
IngU_1933,32,12473549.756699
IngU_1933,60,10833526.473114
IngU_1933,61,2300733.661072
IngU_1933,73,1550234.766312
IngU_1933,77,1763485.970154
IngU_1933,79,42720.754730
IngU_1933,139,43199.162842
IngU_1933,140,26764.119446
IngU_1933,141,918791.064545
IngU_1933,150,183954.374023
IngU_1933,181,3141573.748749
IngU_1933,189,3782137.625565
IngU_1933,216,1504127.305847
IngU_1933,230,2098764.510712
IngU_1933,231,350223.099518
IngU_1933,244,9676.683334
IngU_1933,246,14115.091370
IngU_1933,251,1375785.871933
IngU_1933,291,387846.272278
IngU_1933,293,388939.774475
IngU_1933,324,24650.240356
IngU_1933,343,1404.316589
IngU_1933,356,220632.573761
IngU_1933,368,131173.629089
IngU_1933,408,578714.625580
IngU_1933,429,504831.550751
IngU_1933,433,10791.951416
IngU_1933,436,13880.890015
IngU_1933,439,417076.404419
IngU_1933,441,164803.521240
IngU_1933,468,266420.908295
IngU_1933,480,135054.703781
IngU_1933,484,52111.807098
IngU_1933,492,514222.451843
IngU_1933,494,371824.158508
IngU_1933,550,403770.940826
IngU_1933,570,366211.690308
IngU_1933,604,355310.072388
IngU_1933,623,8625.963242
IngU_1933,639,650441.181610
IngU_1933,652,1170.084473
IngU_1933,669,1654.455750
IngU_1933,671,131769.899719
IngU_1933,674,19806.591553
IngU_1933,687,318130.592346
IngU_1933,694,5403.272766
IngU_1933,721,41850.608643
IngU_1933,794,397838.509369
IngU_1933,818,256888.420670
IngU_1933,840,447452.539734
IngU_1933,848,221585.286133
IngU_1933,881,219046.387878
IngU_1933,898,15106.578461
IngU_1933,900,3616.829742
IngU_1933,958,383.909546
IngU_1933,979,13963.502502
IngU_1933,985,118168.097656
IngU_1933,996,76322.548828
IngU_1933,1000,14439.932861
IngU_1933,1010,94115.512756
IngU_1933,1012,109636.938766
IngU_1933,1082,141756.497070
IngU_1933,1112,116985.598297
IngU_1933,1125,15116.384186
IngU_1933,1129,383.909546
IngU_1933,1137,22053.869049
IngU_1933,1138,16984.095154
IngU_1933,1142,55378.637085
IngU_1933,1163,4956.044006
IngU_1933,1210,191342.789856
IngU_1933,1224,71919.149170
IngU_1933,1234,260390.129395
IngU_1933,1239,23274.733093
IngU_1933,1279,9046.776245
IngU_1933,1287,39220.515381
IngU_1933,1316,189459.821228
IngU_1933,1362,322438.491913
IngU_1933,1370,92086.820557
IngU_1933,1371,20814.423920
IngU_1933,1384,2524.797424
IngU_1933,1441,25828.619019
IngU_1933,1502,52116.112061
IngU_1933,1542,5344.715668
IngU_1933,1570,14106.717926
IngU_1933,1601,97798.337402
IngU_1933,1611,35957.485016
IngU_1933,1622,74599.380951
IngU_1933,1627,16448.933426
IngU_1933,1644,2493.832336
IngU_1933,1656,79991.762756
IngU_1933,1696,63164.056656
IngU_1933,1697,74685.383148
IngU_1933,1709,835963.527649
IngU_1933,1726,66158.439209
IngU_1933,1732,53460.327148
IngU_1933,1736,33996.520447
IngU_1933,1751,65496.140442
IngU_1933,1821,9596.628708
IngU_1933,1831,6529.940674
IngU_1933,1865,36038.370605
IngU_1933,1866,2282.722473
IngU_1933,1872,67786.166229
IngU_1933,1904,31390.610687
IngU_1933,1908,4838407.836487
IngU_1933,1917,59080.007492
IngU_1933,1925,61709.573486
IngU_1933,1932,168117.886536
IngU_1933,1949,16197.462494
IngU_1933,2011,15554.670044
IngU_1933,2122,38379.247223
IngU_1933,2128,38227.832550
IngU_1933,2135,42583.926910
IngU_1933,2183,60274.675049
IngU_1933,2192,33618.049164
IngU_1933,2211,13818.863159
IngU_1933,2235,5666.870300
IngU_1933,2247,39258.090027
IngU_1933,2320,42332.926575
IngU_1933,2324,680.930634
IngU_1933,2330,18306.244904
IngU_1933,2332,12256.577209
IngU_1933,2368,27930.342468
IngU_1933,2369,47029.756348
IngU_1933,2370,36382.595596
IngU_1933,2380,5764.340515
IngU_1933,2408,602.862366
IngU_1933,2438,8839.679810
IngU_1933,2446,9602.180664
IngU_1933,2463,10906.232483
IngU_1933,2480,41314.932800
IngU_1933,2492,5267.518250
IngU_1933,2495,8427.780762
IngU_1933,2517,290299.265198
IngU_1933,2530,50045.451050
IngU_1933,2560,7133.430481
IngU_1933,2566,56074.524170
IngU_1933,2571,5020.803223
IngU_1933,2596,6049.955811
IngU_1933,2626,2507.380310
IngU_1933,2649,26232.162140
IngU_1933,2668,43235.843750
IngU_1933,2681,110241.483154
IngU_1933,2688,14035.075500
IngU_1933,2703,1438.007385
IngU_1933,2721,2202.655212
IngU_1933,2746,30142.314209
IngU_1933,2783,375525.193970
IngU_1933,2793,37017.059189
IngU_1933,2795,9507.839508
IngU_1933,2803,7324.201843
IngU_1933,2806,98040.119263
IngU_1933,2823,3915.080505
IngU_1933,2864,2608.467041
IngU_1933,2873,89355.747498
IngU_1933,2921,382.291260
IngU_1933,2952,22440.106613
IngU_1933,3014,17169.428223
IngU_1933,3052,1240.427704
IngU_1933,3079,1922.316498
IngU_1933,3139,8937.571899
IngU_1933,3163,21287.039368
IngU_1933,3164,12731.943451
IngU_1933,3165,11826.399719
IngU_1933,3166,17941.583862
IngU_1933,3167,15649.345093
IngU_1933,3210,17673.167542
IngU_1933,3215,5227.043976
IngU_1933,3270,12955.365356
IngU_1933,3271,10267.538269
IngU_1933,3327,1688.433334
IngU_1933,3351,5775.289734
IngU_1933,3358,6934.044952
IngU_1933,3412,4051.440674
IngU_1933,3413,20849.748749
IngU_1933,3417,6531.536316
IngU_1933,3443,2581.848831
IngU_1933,3489,6325.502930
IngU_1933,3506,4512.674713
IngU_1933,3580,1302.010986
IngU_1933,3589,9826.693359
IngU_1933,3597,6019.380249
IngU_1933,3605,10982.132324
IngU_1933,3606,7998.191528
IngU_1933,3616,14757.281677
IngU_1933,3642,1863.222107
IngU_1933,3668,84430.513672
IngU_1933,3722,3610.443970
IngU_1933,3755,1226.106201
IngU_1933,3847,5221.327759
IngU_1933,3851,10542.492798
IngU_1933,3868,45450.543640
IngU_1933,3872,9874.449188
IngU_1933,3924,5256.451172
IngU_1933,3944,14839.717773
IngU_1933,3963,38330.712830
IngU_1933,3974,6178.092285
IngU_1933,4013,14620.895447
IngU_1933,4018,11961.466187
IngU_1933,4057,23734.471252
IngU_1933,4063,1469.277710
IngU_1933,4108,12078.423706
IngU_1933,4129,61356.982910
IngU_1933,4166,284317.210449
IngU_1933,4171,91809.163696
IngU_1933,4219,950.029724
IngU_1933,4252,679.952026
IngU_1933,4285,8424.708008
IngU_1933,4323,1611.960510
IngU_1933,4339,47506.696411
IngU_1933,4347,31286.274231
IngU_1933,4357,12941.631836
IngU_1933,4366,12473.805908
IngU_1933,4463,18198.639038
IngU_1933,4465,34791.782104
IngU_1933,4537,9436.612488
IngU_1933,4539,10941.867310
IngU_1933,4543,1031.363281
IngU_1933,4583,2824.544434
IngU_1933,4585,4021.113525
IngU_1933,4641,10578.350281
IngU_1933,4661,1416.984375
IngU_1933,4663,39509.633850
IngU_1933,4707,2999.757874
LA8_644_2,1,13764.755417
LA8_644_2,7,3771319.711624
LA8_644_2,9,2032898.301392
LA8_644_2,14,2015714.008987
LA8_644_2,49,419372.460266
LA8_644_2,67,1285175.399628
LA8_644_2,70,7743.072418
LA8_644_2,86,1713457.743011
LA8_644_2,87,25654.487045
LA8_644_2,93,4558.955444
LA8_644_2,110,200953.676605
LA8_644_2,115,201472.016632
LA8_644_2,142,156484.682098
LA8_644_2,162,76386.610870
LA8_644_2,167,11105.885864
LA8_644_2,175,18560.329651
LA8_644_2,177,7511.211243
LA8_644_2,188,34449.341400
LA8_644_2,193,9751.493195
LA8_644_2,200,17464.914520
LA8_644_2,204,478858.120865
LA8_644_2,211,171305.922806
LA8_644_2,237,361929.942139
LA8_644_2,241,69583.240891
LA8_644_2,256,116122.584930
LA8_644_2,258,722773.430023
LA8_644_2,259,53955.520660
LA8_644_2,262,270690.306595
LA8_644_2,264,854738.626404
LA8_644_2,269,369297.423065
LA8_644_2,297,390175.080765
LA8_644_2,308,216996.297592
LA8_644_2,314,396080.139420
LA8_644_2,318,130690.761963
LA8_644_2,325,4124.082458
LA8_644_2,330,55363.919373
LA8_644_2,339,185693.325699
LA8_644_2,354,352609.134460
