cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	G1	G2	G3	G4	G5	G6	AllFiles	AllGroups	DefaultGroups	RTMean	RTStdErr	ProteoSAFeClusterLink	UniqueFileSourcesCount	EvenOdd
1	1	597.182	1	597.182	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:2089###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=1	1	1
2	1	275.201	1	275.201	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:2962###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=2	1	0
3	1	609.146	1	609.146	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:486###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=3	1	1
4	1	913.146	1	913.146	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:260###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=4	1	1
5	1	836.13	1	836.13	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:1566###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=5	1	0
6	1	183.14	1	183.14	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:640###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=6	1	0
7	1	329.232	1	329.232	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:1010###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=7	1	0
8	1	293.211	1	293.211	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:3136###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=8	1	0
9	1	760.128	1	760.128	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:2297###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=9	1	0
10	1	913.145	1	913.145	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:421###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=10	1	1
