cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	G1	G2	G3	G4	G5	G6	AllFiles	AllGroups	DefaultGroups	RTMean	RTStdErr	ProteoSAFeClusterLink	UniqueFileSourcesCount	EvenOdd	LibraryID	NumberOrganismIDs	AllOrganisms	componentindex
344	1	615.099	1	615.099	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:313###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=344	1	1	name_unknown	1	PRIVATE-USER;	2
345	1	601.12	1	601.12	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:28###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=345	1	1	N/A	0	N/A	2
346	1	269.045	1	269.045	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:2654###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=346	1	1	Apigenin	1	GNPS-LIBRARY;	2
347	1	745.14	1	745.14	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:693###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=347	1	1	Gallocatechin_Catechin_Type_B_Gallate	1	PRIVATE-USER;	2
340	1	463.087	1	463.087	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:4616###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=340	1	1	Spectral Match to Isoquercitin from NIST14	1	GNPS-NIST14-MATCHES;	2
341	1	836.135	1	836.135	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:3045###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=341	1	0	N/A	0	N/A	2
342	1	617.114	1	617.114	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:1491###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=342	1	1	N/A	0	N/A	2
343	1	481.312	1	481.312	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:5084###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=343	1	0	N/A	0	N/A	-1
348	1	483.185	1	483.185	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:3095###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=348	1	1	N/A	0	N/A	2
349	1	593.129	1	593.129	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:783###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=349	1	1	8-<2-(3.4-Dihydroxy-phenyl)-3.5.7-trihydroxy-chromanyl-(4)>-3.4.5.7.3'.4'-hexahydroxy-flavan|8-[2-(3.4-Dihydroxy-phenyl)-3.5.7-trihydroxy-chromanyl-(4)]-3.4.5.7.3'.4'-hexahydroxy-flavan	1	null;	2
