#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags
10	M-H	N/A	-1	Di_Gallocatechin_Type_B_Gallate_Gallate	Other	GCYounkin	914.154	N/A	N/A	qTof	Negative	LC-ESI	913.147	lib-00027.mgf	Bronze	3	0.381105	2.00521	0.00183105	PRIVATE-USER	TAKursar	913.147	N/A	0	6	c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(c(c1)O)O)O)O)c1c2c(c(cc1O)OC(=O)c1cc(c(c(c1)OC(=O)c1cc(c(c(c1)O)O)O)O)O)CC(C(O2)c1cc(c(c(c1)O)O)O)O	1	913.145	spectra/specs_ms.pklbin	CCMSLIB00001056933	2.08076e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1006	M-H	N/A	-1	6-p-hydroxybenzoyl-D-glucose|O6-(4-Hydroxy-benzoyl)-D-glucose|p-hydroxybenzoic_acid_glucose_ester	Other	GCYounkin	300.085	N/A	N/A	qTof	Negative	LC-ESI	299.077	lib-00025.mgf	Bronze	3	0.564941	2.44894	0.000732422	null	TAKursar	299.077	N/A	0	7	c1(c([H])c([H])c(O[H])c([H])c1[H])C(=O)OC([H])([H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])=O	1	299.077	spectra/specs_ms.pklbin	CCMSLIB00001524508	80236.6	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1010	[M+H]	529-55-5	1	ReSpect:PT204280 naringenin-7-O-glucoside|Nari-7-Glc|Prunin|Naringenin 7-O-beta-D-glucoside|4',5-Dihydroxy-7-glucosyloxyflavanone|(S)-7-(beta-D-Glucopyranosyloxy)-2,3-dihydro-5-hydroxy-2-(4-hydroxyphenyl)-4H-1-benzopy	Isolated	ReSpect	0.0	1/C21H22O10/c22-8-16-18(26)19(27)20(28)21(31-16)29-11-5-12(24)17-13(25)7-14(30-15(17)6-11)9-1-3-10(23)4-2-9/h1-6,14,16,18-24,26-28H,7-8H2/t14-,16+,18+,19-,20+,21+/m0/s1	N/A	LC-Q-TOF/MS	Positive	ESI	433.113	lib-00007.mgf	Bronze	3	0.793905	1.19784	0.000518799	RESPECT	Putative ReSpect Match	433.113	N/A	0	6	C1C(OC2=CC(=CC(=C2C1=O)O)OC3C(C(C(C(O3)CO)O)O)O)C4=CC=C(C=C4)O	1	433.112	spectra/specs_ms.pklbin	CCMSLIB00000222104	16888.9	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1019	M-H	n/a	1	NCGC00168909-02!(2R,3R)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-2,3-dihydrochromen-4-one	isolated	lfnothias	450.116	InChI=1S/C21H22O11/c1-7-15(26)17(28)18(29)21(30-7)32-20-16(27)14-12(25)5-9(22)6-13(14)31-19(20)8-2-3-10(23)11(24)4-8/h2-7,15,17-26,28-29H,1H3/t7-,15-,17+,18+,19+,20-,21-/m0/s1	N/A	Maxis II HD Q-TOF Bruker	negative	LC-ESI	449.109	lib-00017.mgf	Gold	1	0.670732	1.56288	0.000701904	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_NEGATIVE	Jadhav/Dorrestein	449.109	n/a	0	7	C[C@@H]1O[C@@H](O[C@@H]2[C@H](OC3=C(C2=O)C(O)=CC(O)=C3)C4=CC(O)=C(O)C=C4)[C@H](O)[C@H](O)[C@H]1O	1	449.11	spectra/specs_ms.pklbin	CCMSLIB00000845955	12007.9	UPDATE-SINGLE-ANNOTATED-GOLD	 
102	M-H	35323-91-2	1	ReSpect:PT204560 (+)-Epicatechin|EpCt-pl|ent-Epicatechin|Epicatechol|(+)-3,3',4',5,7-Pentahydroxyflavan|(2S,3S)-2-(3,4-dihydroxyphenyl)chroman-3,5,7-triol	Isolated	ReSpect	0.0	1/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15-/m0/s1	N/A	qTof	Negative	LC-ESI	289.071	lib-00007.mgf	Bronze	3	0.953761	2.00585	0.000579834	RESPECT	Putative ReSpect Match	289.071	N/A	0	10	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O	1	289.072	spectra/specs_ms.pklbin	CCMSLIB00000222137	4.63959e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1025	M-H	n/a	1	NCGC00384787-01!2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-6-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-2,3-dihydrochromen-4-one	isolated	lfnothias	450.116	InChI=1S/C21H22O11/c22-6-14-17(27)19(29)20(30)21(32-14)16-11(26)5-13-15(18(16)28)10(25)4-12(31-13)7-1-2-8(23)9(24)3-7/h1-3,5,12,14,17,19-24,26-30H,4,6H2	N/A	Maxis II HD Q-TOF Bruker	negative	LC-ESI	449.109	lib-00017.mgf	Gold	1	0.696996	3.60142	0.00161743	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_NEGATIVE	Jadhav/Dorrestein	449.109	n/a	0	7	OCC1OC(C(O)C(O)C1O)C2=C(O)C=C3OC(CC(=O)C3=C2O)C4=CC(O)=C(O)C=C4	1	449.107	spectra/specs_ms.pklbin	CCMSLIB00000846267	867634	UPDATE-SINGLE-ANNOTATED-GOLD	 
1040	M-H	N/A	-1	Catechin_Epicatechin_Coumarate	Other	GCYounkin	436.116	N/A	N/A	qTof	Negative	LC-ESI	435.109	lib-00027.mgf	Bronze	3	0.560537	2.38469	0.0010376	PRIVATE-USER	TAKursar	435.109	N/A	0	6	c12c(c(cc(c1)O)O)CC(C(O2)c1ccc(c(c1)O)O)OC(=O)/C=C/c1ccc(cc1)O	1	435.108	spectra/specs_ms.pklbin	CCMSLIB00001057371	41576.5	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1043	M-H	N/A	-1	Leucocyanidin	Other	GCYounkin	594.137	N/A	N/A	qTof	Negative	LC-ESI	593.13	lib-00026.mgf	Bronze	3	0.415485	2.26388	0.00134277	PRIVATE-USER	TAKursar	593.13	N/A	0	6	c12c(c([H])c(O[H])c([H])c1O[H])OC([H])(c3c([H])c([H])c(O[H])c(O[H])c3[H])C([H])(O[H])C2([H])OC4([H])C([H])(O[H])C([H])(c5c([H])c([H])c(O[H])c(O[H])c5[H])Oc(c([H])c(O[H])c([H])c6O[H])c46	1	593.129	spectra/specs_ms.pklbin	CCMSLIB00001989505	529617	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1049	M-H	N/A	-1	Di_Gallocatechin_Type_B_Gallate_Cinnamate	Other	GCYounkin	892.185	N/A	N/A	qTof	Negative	LC-ESI	891.178	lib-00027.mgf	Bronze	3	0.257372	0.547906	0.000488281	PRIVATE-USER	TAKursar	891.178	N/A	0	8	c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(c(c1)O)O)O)O)c1c2c(c(cc1O)OC(=O)/C=C/c1ccccc1)CC(C(O2)c1cc(c(c(c1)OC(=O)c1cc(c(c(c1)O)O)O)O)O)O	1	891.177	spectra/specs_ms.pklbin	CCMSLIB00001056934	245678	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1050	M-H	N/A	-1	Gallocatechin_Catechin_Type_B_Gallate	Other	GCYounkin	746.148	N/A	N/A	qTof	Negative	LC-ESI	745.141	lib-00027.mgf	Bronze	3	0.258834	2.04777	0.00152588	PRIVATE-USER	TAKursar	745.141	N/A	0	6	c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(c(c1)O)O)O)O)c1c2c(c(cc1O)OC(=O)c1cc(c(c(c1)O)O)O)CC(C(O2)c1ccc(c(c1)O)O)O	1	745.14	spectra/specs_ms.pklbin	CCMSLIB00001056787	166781	UPDATE-SINGLE-ANNOTATED-BRONZE	 
