cluster index	AllFiles	sum(precursor intensity)	RTMean	RTStdErr	parent mass	ScanNumber	ProteosafeFilePath	Original_Path	internalFilename
1	phen_spectra_2017_11_16.mgf	0	0	0	319.045	1	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phen_spectra_2017_11_16.mgf	spec-00000.mgf
2	phen_spectra_2017_11_16.mgf	0	0	0	797.47	10	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phen_spectra_2017_11_16.mgf	spec-00000.mgf
3	phen_spectra_2017_11_16.mgf	0	0	0	583.109	1004	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phen_spectra_2017_11_16.mgf	spec-00000.mgf
4	phen_spectra_2017_11_16.mgf	0	0	0	684.103	1005	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phen_spectra_2017_11_16.mgf	spec-00000.mgf
5	phen_spectra_2017_11_16.mgf	0	0	0	457.076	1006	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phen_spectra_2017_11_16.mgf	spec-00000.mgf
6	phen_spectra_2017_11_16.mgf	0	0	0	285.206	1008	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phen_spectra_2017_11_16.mgf	spec-00000.mgf
7	phen_spectra_2017_11_16.mgf	0	0	0	449.071	1009	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phen_spectra_2017_11_16.mgf	spec-00000.mgf
8	phen_spectra_2017_11_16.mgf	0	0	0	277.217	1010	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phen_spectra_2017_11_16.mgf	spec-00000.mgf
9	phen_spectra_2017_11_16.mgf	0	0	0	608.097	1011	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phen_spectra_2017_11_16.mgf	spec-00000.mgf
10	phen_spectra_2017_11_16.mgf	0	0	0	1161.33	1012	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phen_spectra_2017_11_16.mgf	spec-00000.mgf
11	phen_spectra_2017_11_16.mgf	0	0	0	1012.77	1014	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phen_spectra_2017_11_16.mgf	spec-00000.mgf
12	phen_spectra_2017_11_16.mgf	0	0	0	660.111	1022	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phen_spectra_2017_11_16.mgf	spec-00000.mgf
13	phen_spectra_2017_11_16.mgf	0	0	0	351.072	1023	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phen_spectra_2017_11_16.mgf	spec-00000.mgf
14	phen_spectra_2017_11_16.mgf	0	0	0	856.888	1024	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phen_spectra_2017_11_16.mgf	spec-00000.mgf
15	phen_spectra_2017_11_16.mgf	0	0	0	659.123	1025	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phen_spectra_2017_11_16.mgf	spec-00000.mgf
16	phen_spectra_2017_11_16.mgf	0	0	0	1426.69	1027	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phen_spectra_2017_11_16.mgf	spec-00000.mgf
17	phen_spectra_2017_11_16.mgf	0	0	0	1554.73	1028	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phen_spectra_2017_11_16.mgf	spec-00000.mgf
18	phen_spectra_2017_11_16.mgf	0	0	0	325.091	1032	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phen_spectra_2017_11_16.mgf	spec-00000.mgf
19	phen_spectra_2017_11_16.mgf	0	0	0	745.104	1034	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phen_spectra_2017_11_16.mgf	spec-00000.mgf
20	phen_spectra_2017_11_16.mgf	0	0	0	1044.76	1037	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phen_spectra_2017_11_16.mgf	spec-00000.mgf
21	phen_spectra_2017_11_16.mgf	0	0	0	1269.81	1038	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phen_spectra_2017_11_16.mgf	spec-00000.mgf
22	phen_spectra_2017_11_16.mgf	0	0	0	1248.64	1039	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phen_spectra_2017_11_16.mgf	spec-00000.mgf
23	phen_spectra_2017_11_16.mgf	0	0	0	653.078	104	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phen_spectra_2017_11_16.mgf	spec-00000.mgf
24	phen_spectra_2017_11_16.mgf	0	0	0	315.144	1041	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phen_spectra_2017_11_16.mgf	spec-00000.mgf
25	phen_spectra_2017_11_16.mgf	0	0	0	625.081	1043	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phen_spectra_2017_11_16.mgf	spec-00000.mgf
26	phen_spectra_2017_11_16.mgf	0	0	0	296.042	1044	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phen_spectra_2017_11_16.mgf	spec-00000.mgf
27	phen_spectra_2017_11_16.mgf	0	0	0	661.083	1047	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phen_spectra_2017_11_16.mgf	spec-00000.mgf
28	phen_spectra_2017_11_16.mgf	0	0	0	765.167	1048	spec/spec-00000.mgf	f.gordonyounkin/all_inga/phen_spectra_2017_11_16.mgf	spec-00000.mgf
