#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags
1	M-H	N/A	-1	Di_Hydro_Myricetin	Other	GCYounkin	320.053	N/A	N/A	qTof	Negative	LC-ESI	319.046	lib-00027.mgf	Bronze	3	0.456821	2.20001	0.000701904	PRIVATE-USER	TAKursar	319.046	N/A	0	6	c12c(c(cc(c1)O)O)C(=O)C(C(O2)c1cc(c(c(c1)O)O)O)O	1	319.045	spectra/specs_ms.pklbin	CCMSLIB00001057317	1.4202e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1002	M-H	N/A	-1	Di_Hydro_Quercetin_Pentose_Gallate	Other	GCYounkin	588.112	N/A	N/A	qTof	Negative	LC-ESI	587.104	lib-00027.mgf	Bronze	3	0.415593	1.35148	0.000793457	PRIVATE-USER	TAKursar	587.104	N/A	0	6	c12c(c(cc(c1)O)O)C(=O)C(C(O2)c1cc(c(cc1)O)O)OC(=O)c1cc(c(c(c1)OC1OC(C(C1O)O)CO)O)O	1	587.103	spectra/specs_ms.pklbin	CCMSLIB00001057601	233786	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1003	M-H	N/A	-1	3-O-[beta-D-xylopyranosyl-(1->2)-beta-D-glucopyranosyl]-kaempferol|kaempferol_3-O-beta-D-xylopyranosyl(1->2)-beta-D-glucopyranoside|kaempferol_3-O-beta-xylopyranosyl(1->2)-beta-D-glucopyranoside|kaempferol_3-O-sambubioside|kaempferol_3-O-xylosyl-(1'''->2'')-glucoside|kaempferol_3-sambubioside|kaempferol-3-O-beta-xylopyranosyl-(1->2)-beta-glucopyranoside|leucoside	Other	GCYounkin	580.143	N/A	N/A	qTof	Negative	LC-ESI	579.136	lib-00026.mgf	Bronze	3	0.568033	0.948511	0.000549316	PRIVATE-USER	TAKursar	579.136	N/A	0	6	C1(OC2([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C([H])(O[H])C2([H])OC3([H])OC([H])([H])C([H])(O[H])C([H])(O[H])C3([H])O[H])=C(Oc(c([H])c(O[H])c([H])c4O[H])c4C1=O)c5c([H])c([H])c(O[H])c([H])c5[H]	1	579.135	spectra/specs_ms.pklbin	CCMSLIB00002000476	455377	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1005	M-H	N/A	-1	Tyrosine_Gallate	Other	GCYounkin	333.085	N/A	N/A	qTof	Negative	LC-ESI	332.078	lib-00027.mgf	Bronze	3	0.397139	5.33014	0.00177002	PRIVATE-USER	TAKursar	332.078	N/A	0	6	c1(ccc(cc1)OC(=O)c1cc(c(c(c1)O)O)O)CC(C(=O)O)N	1	332.076	spectra/specs_ms.pklbin	CCMSLIB00001057199	479827	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1012	M-H	N/A	-1	1-O-caffeoyl-3-O-galloyl-beta-D-glucopyranose	Other	GCYounkin	494.106	N/A	N/A	qTof	Negative	LC-ESI	493.099	lib-00025.mgf	Bronze	3	0.674185	0.680783	0.000335693	null	TAKursar	493.099	N/A	0	6	[C@@]1([H])(OC(=O)c2c([H])c(O[H])c(O[H])c(O[H])c2[H])[C@]([H])(O[H])[C@@]([H])(C([H])([H])O[H])O[C@@]([H])(OC(=O)C([H])=C([H])c3c([H])c([H])c(O[H])c(O[H])c3[H])[C@]1([H])O[H]	1	493.099	spectra/specs_ms.pklbin	CCMSLIB00001476515	113706	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1022	M-H	N/A	-1	Di_Afzelechin_Type_B_Pentose	Other	GCYounkin	678.195	N/A	N/A	qTof	Negative	LC-ESI	677.188	lib-00027.mgf	Bronze	3	0.32666	0.180261	0.00012207	PRIVATE-USER	TAKursar	677.188	N/A	0	7	c12c(c(cc(c1)O)O)C(C(C(O2)c1ccc(cc1)O)O)c1c2c(c(cc1O)O)CC(C(O2)c1ccc(cc1)O)OCC1OC(C(C1O)O)O	1	677.187	spectra/specs_ms.pklbin	CCMSLIB00001057151	200784	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1028	M-H	N/A	-1	"6""-O-galloylsalidroside|6''-O-galloylslidroside|6'-O-galloylsalidroside|p-hydroxyphenethyl_alcohol_1-O-beta-D-(6''-O-galloyl)-glucopyranoside"	Other	GCYounkin	452.132	N/A	N/A	qTof	Negative	LC-ESI	451.125	lib-00025.mgf	Bronze	3	0.69772	2.57062	0.00115967	null	TAKursar	451.125	N/A	0	6	C1([H])(C([H])([H])OC(=O)c2c([H])c(O[H])c(O[H])c(O[H])c2[H])OC([H])(OC([H])([H])C([H])([H])c3c([H])c([H])c(O[H])c([H])c3[H])C([H])(O[H])C([H])(O[H])C1([H])O[H]	1	451.123	spectra/specs_ms.pklbin	CCMSLIB00001585686	69256.9	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1032	M-H	N/A	-1	Catechin_Hexose_Coumarate	Other	GCYounkin	598.169	N/A	N/A	qTof	Negative	LC-ESI	597.161	lib-00027.mgf	Bronze	3	0.493342	1.53313	0.000915527	PRIVATE-USER	TAKursar	597.161	N/A	0	8	c12c(c(cc(c1)O)O)CC(C(O2)c1ccc(c(c1)O)O)OC(=O)/C=C/c1ccc(cc1)OC1C(C(C(C(O1)CO)O)O)O	1	597.16	spectra/specs_ms.pklbin	CCMSLIB00001057110	6.43565e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1036	M-H	n/a	1	NCGC00384654-01![(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-[[(E)-3-(4-hydroxyphenyl)prop-2-enoyl]oxymethyl]-2-(3,4,5-trihydroxybenzoyl)oxyoxan-3-yl] 3,4,5-trihydroxybenzoate	isolated	lfnothias	630.122	InChI=1S/C29H26O16/c30-15-4-1-12(2-5-15)3-6-21(35)42-11-20-24(38)25(39)26(44-27(40)13-7-16(31)22(36)17(32)8-13)29(43-20)45-28(41)14-9-18(33)23(37)19(34)10-14/h1-10,20,24-26,29-34,36-39H,11H2/b6-3+/t20-,24-,25+,26-,29+/m1/s1	N/A	Maxis II HD Q-TOF Bruker	negative	LC-ESI	629.115	lib-00017.mgf	Gold	1	0.51029	2.32842	0.00146484	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_NEGATIVE	Jadhav/Dorrestein	629.115	n/a	0	8	O[C@@H]1[C@@H](COC(=O)\C=C\C2=CC=C(O)C=C2)O[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC(=O)C4=CC(O)=C(O)C(O)=C4)[C@H]1O	1	629.114	spectra/specs_ms.pklbin	CCMSLIB00000846206	608406	UPDATE-SINGLE-ANNOTATED-GOLD	 
1039	M-H	n/a	1	NCGC00385721-01![(2R,3R,4S,5R,6S)-6-[5,7-dihydroxy-4-oxo-2-(3,4,5-trihydroxyphenyl)chromen-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl 3,4,5-trihydroxybenzoate	isolated	lfnothias	632.101	InChI=1S/C28H24O17/c29-10-5-11(30)18-16(6-10)43-25(8-1-12(31)19(35)13(32)2-8)26(22(18)38)45-28-24(40)23(39)21(37)17(44-28)7-42-27(41)9-3-14(33)20(36)15(34)4-9/h1-6,17,21,23-24,28-37,39-40H,7H2/t17-,21+,23+,24-,28+/m1/s1	N/A	Maxis II HD Q-TOF Bruker	negative	LC-ESI	631.094	lib-00017.mgf	Gold	1	0.374041	0.773706	0.000488281	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_NEGATIVE	Jadhav/Dorrestein	631.094	n/a	0	9	O[C@@H]1[C@H](O)[C@@H](O)[C@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C4=CC(O)=C(O)C(O)=C4)O[C@@H]1COC(=O)C5=CC(O)=C(O)C(O)=C5	1	631.094	spectra/specs_ms.pklbin	CCMSLIB00000846030	2.48151e+06	UPDATE-SINGLE-ANNOTATED-GOLD	 
