compound_number,feature_number,TIC,mz,rt
1,8,39560.956240,133.013427,4.039863
1,1700,130642.012825,493.253079,3.844957
1,1701,51888.610920,493.754656,3.781311
1,1702,6177.026260,494.256200,3.768756
1,1711,246302.968130,941.509236,3.833029
1,1712,83525.345015,942.008957,3.847329
1,1713,101251.547580,942.512536,3.824400
1,1714,675131.646485,987.516958,3.869479
1,1715,295871.983120,988.521857,3.839179
1,1721,26567.630200,1413.274289,3.782911
1,1845,157223.162760,779.461367,3.853500
1,2905,753.062080,779.959200,3.766300
1,2906,41858.733880,780.462100,3.777000
1,2907,1188.400600,781.464500,3.787700
1,2918,37622.425980,860.480800,3.773500
1,2919,37411.153100,860.982900,3.773500
1,2920,16455.385980,861.484200,3.773500
1,2921,727.191700,861.989700,3.769700
1,2933,9763.127860,943.010400,3.777000
1,2934,9680.786680,943.516400,3.769900
1,2950,45467.028020,989.525250,3.845850
1,2977,51511.040520,1075.537800,3.807300
1,2979,14038.292260,1076.541800,3.780400
1,2980,1062.715100,1077.548700,3.776800
1,2999,1983.915940,1375.756100,3.821500
1,3000,6454.662180,1376.256500,3.821500
1,3002,822.332820,1377.259100,3.819700
1,3003,13222.328020,1412.775000,3.780600
1,3004,21303.408800,1413.775900,3.780600
1,3005,10732.380280,1414.277900,3.777000
1,3006,1911.345340,1414.787000,3.769700
1,1710,5055.949175,795.455200,3.858200
2,2641,80086.496589,960.518014,4.533514
2,2871,161053.986900,502.257700,4.572500
2,2872,73528.642340,502.759700,4.574500
2,2873,11838.167110,503.260450,4.568150
2,2908,128747.556060,797.468600,4.574300
2,2910,33797.103560,798.472900,4.578000
2,2930,38097.145360,878.490300,4.577900
2,2931,36499.056940,878.991900,4.578000
2,2932,16013.466620,879.493700,4.577800
2,2938,227270.386840,959.518000,4.574200
2,2939,134100.922460,960.017700,4.578000
2,2940,0.000000,960.523300,4.574300
2,2941,23476.253140,961.022100,4.578000
2,2942,6984.862240,961.527500,4.581300
2,2946,1660.630540,983.020800,4.581400
2,2958,345602.231400,1005.527800,4.577900
2,2959,159851.446120,1006.531800,4.577900
2,2960,28640.929840,1007.534500,4.577800
2,3007,19778.957080,1439.787200,4.578000
2,3008,39952.368760,1440.288200,4.581300
2,3009,32307.195060,1440.789100,4.581400
2,3010,15706.243840,1441.292500,4.581300
2,3011,3596.935480,1441.793600,4.577800
3,3301,5553.254780,381.208500,5.257600
3,3302,1770.524320,381.711000,5.254000
3,3304,5136.170520,404.210000,5.256000
3,3305,1579.185200,404.713400,5.257600
3,3308,2093.703640,462.234900,5.261200
3,3310,1225.047020,483.241000,5.275500
3,3311,1019.730200,483.740000,5.261200
