compound_sample,compound_number,TIC
DN1808_polar,17,345538.560600
DN1808_polar,18,49313.285000
DN1808_polar,22,32201.951500
DN1808_polar,60,992666.115800
DN1808_polar,67,259528.511600
DN1808_polar,84,53.749800
DN1808_polar,111,49313.285000
DN1808_polar,118,173154.196100
DN1808_polar,133,1042.110700
DN1808_polar,163,650810.085100
DN1808_polar,171,21093.768600
DN1808_polar,172,39824.863700
DN1808_polar,181,36994.407400
DN1808_polar,207,26937.435600
DN1808_polar,211,459.339400
DN1808_polar,216,39342.883900
DN1808_polar,218,1372.317200
DN1808_polar,219,24507.232600
DN1808_polar,222,5656.122900
DN1808_polar,266,16180.259700
DN1808_polar,325,14.784700
DN1808_polar,378,1042.110700
DN1808_polar,402,1372.317200
DN1808_polar,409,101354.028000
DN1808_polar,475,10856.645800
DN1808_polar,525,26350.809200
DN1808_polar,685,46.895100
DN1808_polar,717,354.311000
DN1808_polar,729,251.537100
DN1808_polar,759,2601.366300
DN1808_polar,781,920.433200
DN1808_polar,848,8403.613400
DN1808_polar,1097,8444.309800
DN1808_polar,1237,1537.244100
DN1808_polar,1275,316.173700
DN1808_polar,1276,0.000000
DN1808_polar,1326,8822.793400
DN1808_polar,1410,4199.160000
DN1808_polar,1603,8303.894400
DN1808_polar,1685,1122.103900
DN915_polar,11,0.000000
DN915_polar,17,736298.694300
DN915_polar,18,70345.027000
DN915_polar,20,26130.725600
DN915_polar,22,162727.461500
DN915_polar,67,103445.831400
DN915_polar,72,350784.028500
DN915_polar,95,96227.157300
DN915_polar,101,237769.028200
DN915_polar,111,690201.835900
DN915_polar,117,0.000000
DN915_polar,121,237769.028200
DN915_polar,133,72319.553300
DN915_polar,154,82128.597500
DN915_polar,164,59814.829000
DN915_polar,181,51733.955000
DN915_polar,204,0.000000
DN915_polar,207,52661.449900
DN915_polar,211,0.000000
DN915_polar,216,673035.393300
DN915_polar,218,155640.430700
DN915_polar,219,66100.122700
DN915_polar,222,26540.869500
DN915_polar,231,77194.100500
DN915_polar,236,51733.955000
DN915_polar,248,0.000000
DN915_polar,283,104804.633500
DN915_polar,306,22398.851000
DN915_polar,324,0.000000
DN915_polar,328,17623.895100
DN915_polar,340,18865.016200
DN915_polar,341,130263.851600
DN915_polar,343,5768.611900
DN915_polar,356,13267.440600
DN915_polar,372,128358.817400
DN915_polar,378,72319.553300
DN915_polar,402,0.000000
DN915_polar,438,6434.674800
DN915_polar,457,0.000000
DN915_polar,462,4052.208700
DN915_polar,464,25943.792900
DN915_polar,475,22091.187600
DN915_polar,490,44351.141600
DN915_polar,541,3302.754400
DN915_polar,570,0.000000
DN915_polar,571,6120.842800
DN915_polar,598,0.000000
DN915_polar,613,25921.677400
DN915_polar,638,4142.018500
DN915_polar,694,0.000000
DN915_polar,695,0.000000
DN915_polar,729,0.000000
DN915_polar,731,0.000000
DN915_polar,766,16505.365700
DN915_polar,828,3302.754400
DN915_polar,872,13869.754800
DN915_polar,885,6434.674800
DN915_polar,894,0.000000
DN915_polar,963,0.000000
DN915_polar,966,0.000000
DN915_polar,970,44351.141600
DN915_polar,1129,0.000000
DN915_polar,1136,0.000000
DN915_polar,1137,0.000000
DN915_polar,1200,0.000000
DN915_polar,1211,11167.796100
DN915_polar,1326,14292.960800
DN915_polar,1383,0.000000
DN915_polar,1407,14573.352600
DN1354_polar,17,1008299.873400
DN1354_polar,18,260896.544000
DN1354_polar,22,16728.754600
DN1354_polar,67,359699.806900
DN1354_polar,74,3332.683300
DN1354_polar,111,240906.253800
DN1354_polar,168,29286.184400
DN1354_polar,181,3121.390100
DN1354_polar,207,155892.094800
DN1354_polar,212,19990.290200
DN1354_polar,218,22688.117000
DN1354_polar,219,88083.666700
DN1354_polar,222,18674.143400
DN1354_polar,227,3237.361700
DN1354_polar,402,20187.132400
DN1354_polar,553,889.099100
DN1354_polar,554,10518.563600
DN1354_polar,564,3752.500700
DN1354_polar,614,601.747300
DN1354_polar,695,3332.683300
DN1354_polar,731,17068.157300
DN1354_polar,757,12347.767700
DN1354_polar,766,680.525300
DN1354_polar,787,5349.775200
DN1354_polar,792,3242.208300
DN1354_polar,913,281.373900
DN1354_polar,935,2796.106600
DN1354_polar,1027,2722.749800
DN1354_polar,1161,356.039800
DN1354_polar,1326,59717.611700
DN1354_polar,1446,434.376400
DN1354_polar,1447,131.300500
DN1741_polar,17,14615.076700
DN1741_polar,18,6040.148700
DN1741_polar,22,24136.397800
DN1741_polar,93,3834.598100
DN1741_polar,101,285978.499800
DN1741_polar,121,285576.870700
DN1741_polar,154,12002.956200
DN1741_polar,174,8639.077300
DN1741_polar,181,1702.129500
DN1741_polar,212,0.000000
DN1741_polar,219,7997.951500
DN1741_polar,222,7849.251300
DN1741_polar,224,3834.598100
DN1741_polar,248,5073.005500
DN1741_polar,309,76777.170100
DN1741_polar,382,2283.093200
DN1741_polar,397,52.321400
DN1741_polar,470,1824.439100
DN1741_polar,475,17521.130600
DN1741_polar,518,362.506000
DN1741_polar,598,3391.746100
DN1741_polar,648,4413.898200
DN1741_polar,729,303.799100
DN1741_polar,731,1381.436300
DN1741_polar,802,345.550700
DN1741_polar,828,5746.750600
DN1741_polar,854,2905.337400
DN1741_polar,874,137.117700
DN1741_polar,902,2678.069100
DN1741_polar,916,37.782900
DN1741_polar,917,9359.968500
DN1741_polar,918,16496.354000
DN1741_polar,944,4456.615500
DN1741_polar,1102,530.279600
DN1741_polar,1326,12.420400
DN1741_polar,1387,1653.012000
DN1741_polar,1466,3393.417600
DN1306_polar,4,738.931300
