feature_number,TIC,mz,rt,sample_name,PC_ID
1,21.093,113.0352,6.6799,DN1250_polar_2,N1_48
1,96.0246,113.0352,6.6799,DN1308_polar,N1_48
1,3580.3504,113.0352,6.6799,DN1310_polar,N1_48
1,1116.7492,113.0352,6.6799,DN1311_polar,N1_48
1,944.4008,113.0352,6.6799,DN2133_polar,N1_48
1,591.955,113.035,6.6902,DN1795_polar,N15_26
1,893.6891,113.035,6.6902,DN1820_polar,N15_26
1,949.2816,113.035,6.6902,DN1835_polar,N15_26
1,4449.7503,113.035,6.6902,DN1854_polar,N15_26
1,2666.4445,113.035,6.6902,DN1855_polar,N15_26
1,3485.5893,113.0353,6.6727,DN1770_polar,N16_16
1,299.9779,113.0353,6.6727,DN1771_polar,N16_16
1,3199.1581,113.0353,6.6727,DN1772_polar,N16_16
1,6918.4848,113.0353,6.6727,DN1865_polar,N16_16
1,724.3241,113.0353,6.6727,DN1882_polar,N16_16
1,4528.4781,113.0351,6.6728,DN1726_polar,N21_10
1,22152.3315,113.0351,6.6728,DN1727_polar,N21_10
1,1423.853,113.0351,6.6728,DN1851_polar,N21_10
1,4591.3373,113.0351,6.6728,DN1873_polar,N21_10
1,3306.7193,113.0351,6.6728,DN1888_polar,N21_10
1,1324.8968,113.0353,6.7082,DN1804_polar,N23_33
1,5508.2342,113.0353,6.7082,DN1805_polar,N23_33
1,731.0349,113.0353,6.7082,DN1819_polar,N23_33
1,156.8966,113.0353,6.7082,DN1856_polar,N23_33
1,342.1179,113.0353,6.7082,DN1864_polar,N23_33
1,558.666,113.0352,6.676,DN1269_polar_2,N25_32
1,218.813,113.0352,6.676,DN1271_polar_2,N25_32
1,645.1589,113.0352,6.676,DN1288_polar_2,N25_32
1,713.6061,113.0352,6.676,DN1289_polar_2,N25_32
1,2596.3684,113.0352,6.676,DN1312_polar,N25_32
1,25331.5951,113.035,6.7107,DN1645_polar,N27_14
1,28239.6749,113.035,6.7107,DN1803_polar,N27_14
1,238.2477,113.035,6.7107,DN1806_polar,N27_14
1,761.6008,113.035,6.7107,DN1807_polar,N27_14
1,4591.963,113.0351,6.6872,DN1303_polar,N3_25
1,2067.2325,113.0351,6.6872,DN1304_polar,N3_25
1,355.2584,113.0351,6.6872,DN1305_polar,N3_25
1,10376.9171,113.0351,6.6872,DN1306_polar,N3_25
1,106.802,113.0351,6.6872,DN1307_polar,N3_25
1,8658.7246,113.035,6.7092,DN1332_polar,N31_9
1,30339.1019,113.035,6.7092,DN1333_polar,N31_9
1,32604.9886,113.035,6.7092,DN1334_polar,N31_9
1,7173.7399,113.035,6.7092,DN1345_polar,N31_9
1,8708.9039,113.035,6.7092,DN1471_polar,N31_9
1,246.9745,113.0347,6.694,DN1633_polar,N32_52
1,5500.8326,113.0347,6.694,DN1814_polar,N32_52
1,257.062,113.0347,6.694,DN2160_polar,N32_52
1,785.4619,113.0347,6.694,DN2164_polar,N32_52
1,2182.0896,113.0347,6.694,DN2192_polar,N32_52
1,1238.0436,113.035,6.6867,DN1768_polar,N35_21
1,17574.545,113.035,6.6867,DN1769_polar,N35_21
1,9463.1797,113.035,6.6867,DN1836_polar,N35_21
1,6183.99,113.035,6.6867,DN1845_polar,N35_21
1,271.1295,113.035,6.6867,DN1870_polar,N35_21
1,11232.9096,113.0352,6.6962,DN1455_polar,N4_11
1,6609.8534,113.0352,6.6962,DN1472_polar,N4_11
1,4582.7026,113.0352,6.6962,DN1473_polar,N4_11
1,2232.9355,113.0352,6.6962,DN1504_polar,N4_11
1,4654.9589,113.0352,6.6962,DN1575_polar,N4_11
1,75.02,113.0358,6.7188,DN1341_polar,N42_19
1,141.0781,113.0358,6.7188,DN1350_polar,N42_19
1,234.8958,113.0358,6.7188,DN1351_polar,N42_19
1,3493.9525,113.0358,6.7188,DN1352_polar,N42_19
1,4.2894,113.0358,6.7188,DN1353_polar,N42_19
1,1290.2519,113.0353,6.7166,DN1539_polar,N7_20
1,6327.8285,113.0353,6.7166,DN1540_polar,N7_20
1,405.2292,113.0353,6.7166,DN1699_polar,N7_20
1,1501.8279,113.0353,6.7166,DN1700_polar,N7_20
1,3008.1961,113.0353,6.7166,DN1701_polar,N7_20
1,2942.2024,113.0349,6.7201,DN1074_polar,N9_17
1,586.8396,113.0349,6.7201,DN1075_polar,N9_17
1,1733.7855,113.0349,6.7201,DN1077_polar,N9_17
1,896.1031,113.0349,6.7201,DN1078_polar,N9_17
1,1686.0968,113.0349,6.7201,DN1079_polar,N9_17
1,0,113.035,6.7154,DN1824_polar,M25_17
1,0,113.035,6.7154,DN1831_polar,M25_17
1,0,113.035,6.7154,DN753_polar,M25_17
1,0,113.035,6.7154,DN754_polar,M25_17
1,10969.4612,113.035,6.7154,DN755_polar,M25_17
1,0,113.0349,6.7172,DN1849_polar,M27b_12
1,34639.2327,113.0349,6.7172,DN2411_polar,M27b_12
1,0,113.0349,6.7172,DN2412_polar,M27b_12
1,0,113.0349,6.7172,DN2414_polar,M27b_12
1,14817.8449,113.0349,6.7172,DN2419_polar,M27b_12
1,0,113.035,6.7049,DN1832_polar,M28_28
1,0,113.035,6.7049,DN1842_polar,M28_28
1,0,113.035,6.7049,DN609_polar,M28_28
1,6483.5833,113.035,6.7049,DN723_polar,M28_28
1,7373.8243,113.035,6.7049,DN759_polar,M28_28
1,0,113.0352,6.7229,DN1342_polar,M29_30
1,0,113.0352,6.7229,DN1355_polar,M29_30
1,0,113.0352,6.7229,DN1356_polar,M29_30
1,0,113.0352,6.7229,DN1388_polar,M29_30
1,8531.6069,113.0352,6.7229,DN1602_polar,M29_30
1,7087.2229,113.0354,6.7048,DN1693_polar,M39a_11
1,0,113.0354,6.7048,DN2214_polar,M39a_11
1,8931.9676,113.0354,6.7048,DN789_polar,M39a_11
1,4047.64,113.0353,6.7084,DN1686_polar,M4_14
1,0,113.0353,6.7084,DN1689_polar,M4_14
1,0,113.0353,6.7084,DN732_polar,M4_14
1,0,113.0353,6.7084,DN733_polar,M4_14
1,22339.0029,113.0353,6.7084,DN734_polar,M4_14
1,0,113.0357,6.7066,DN2150_polar,M40b_30
1,3079.1516,113.0357,6.7066,DN2184_polar,M40b_30
1,11568.4797,113.0357,6.7066,DN2359_polar,M40b_30
1,0,113.0353,6.7056,DN1827_polar,M51_11
1,0,113.0353,6.7056,DN1875_polar,M51_11
1,0,113.0353,6.7056,DN1904_polar,M51_11
1,0,113.0353,6.7056,DN791_polar,M51_11
1,4445.0827,113.0353,6.7056,DN792_polar,M51_11
1,0,113.0342,6.7014,DN1829_polar,M60_17
1,0,113.0342,6.7014,DN2144_polar,M60_17
1,0,113.0342,6.7014,DN779_polar,M60_17
1,0,113.0342,6.7014,DN780_polar,M60_17
1,7583.0772,113.0342,6.7014,DN797_polar,M60_17
1,12895.2662,113.0348,6.7083,DN1798_polar,M62_10
1,0,113.0348,6.7083,DN1862_polar,M62_10
1,0,113.0348,6.7083,DN799_polar,M62_10
1,0,113.0348,6.7083,DN800_polar,M62_10
1,16431.3086,113.0348,6.7083,DN801_polar,M62_10
1,2911.5415,113.0349,6.6943,DN796_polar,M68_15
1,3009.093,113.0348,6.6804,DN1848_polar,M71_11
1,4592.4782,113.0348,6.6804,DN804_polar,M71_11
1,4255.1952,113.0348,6.6804,DN805_polar,M71_11
1,6300.963,113.0339,6.7023,DN1456_polar,LA43_23
1,9577.5984,113.0339,6.7023,DN1467_polar,LA43_23
1,9312.9862,113.0339,6.7023,DN1468_polar,LA43_23
1,0,113.0339,6.7023,DN1477_polar,LA43_23
1,0,113.0339,6.7023,DN669_polar,LA43_23
1,0,113.0342,6.6988,DN1675_polar,LA44_20
1,5449.4159,113.0342,6.6988,DN2153_polar,LA44_20
1,0,113.0342,6.6988,DN704_polar,LA44_20
1,8199.1057,113.0342,6.6988,DN727_polar,LA44_20
1,15976.2842,113.0342,6.6988,DN728_polar,LA44_20
1,15624.7601,113.0352,6.6879,DN1636_polar,LA46_9
1,22273.9907,113.0352,6.6879,DN1637_polar,LA46_9
1,8902.2873,113.0352,6.6879,DN2143_polar,LA46_9
1,11700.848,113.0352,6.6879,DN2178_polar,LA46_9
1,78891.8979,113.0352,6.6879,DN706_polar,LA46_9
1,0,113.035,6.6887,DN1514_polar,LA49_19
1,0,113.035,6.6887,DN1525_polar,LA49_19
1,0,113.035,6.6887,DN621_polar,LA49_19
1,15193.7664,113.035,6.6887,DN622_polar,LA49_19
1,0,113.035,6.6887,DN623_polar,LA49_19
1,4656.5753,113.0359,6.7019,DN2175_polar,LA52_32
1,0,113.0359,6.7019,DN2391_polar,LA52_32
1,10475.7336,113.0342,6.6791,DN1554_polar,LA60_37
1,0,113.0342,6.6791,DN1578_polar,LA60_37
1,0,113.0342,6.6791,DN616_polar,LA60_37
1,9328.7008,113.0342,6.6791,DN619_polar,LA60_37
1,0,113.0342,6.6791,DN620_polar,LA60_37
1,0,113.0351,6.6812,DN2348_polar,LA61_15
1,0,113.0351,6.6812,DN2349_polar,LA61_15
1,0,113.0351,6.6812,DN2350_polar,LA61_15
1,5456.2199,113.0351,6.6812,DN2351_polar,LA61_15
1,40338.7415,113.0354,6.7024,DN2166_polar,LA62_3
1,7231.7347,113.0354,6.7024,DN2170_polar,LA62_3
1,0,113.0343,6.699,DN1061_polar,LA7_18
1,0,113.0343,6.699,DN1490_polar,LA7_18
1,0,113.0343,6.699,DN691_polar,LA7_18
1,0,113.0343,6.699,DN692_polar,LA7_18
1,7433.3478,113.0343,6.699,DN709_polar,LA7_18
1,3432.3286,113.0338,6.7168,DN1527_polar,LA18_28
1,0,113.0338,6.7168,DN1538_polar,LA18_28
1,0,113.0338,6.7168,DN1635_polar,LA18_28
1,0,113.0338,6.7168,DN671_polar,LA18_28
1,0,113.0338,6.7168,DN672_polar,LA18_28
1,4288.3222,113.0355,6.6987,DN1880_polar,LA19_43
1,0,113.0355,6.6987,DN1889_polar,LA19_43
1,0,113.0355,6.6987,DN1896_polar,LA19_43
1,0,113.0355,6.6987,DN680_polar,LA19_43
1,0,113.0355,6.6987,DN682_polar,LA19_43
1,0,113.0357,6.6808,DN1441_polar,LA2_27
1,0,113.0357,6.6808,DN1442_polar,LA2_27
1,8746.8599,113.0357,6.6808,DN2139_polar,LA2_27
1,0,113.0357,6.6808,DN628_polar,LA2_27
1,0,113.0357,6.6808,DN633_polar,LA2_27
1,12196.0711,113.035,6.699,DN1412_polar,LA22_22
1,0,113.035,6.699,DN1531_polar,LA22_22
1,13804.0565,113.035,6.699,DN656_polar,LA22_22
1,8400.4909,113.035,6.699,DN657_polar,LA22_22
1,0,113.035,6.699,DN658_polar,LA22_22
1,32054.5952,113.0337,6.6988,DN1590_polar,LA3_5
1,67116.4238,113.0337,6.6988,DN1591_polar,LA3_5
1,0,113.0337,6.6988,DN2759_polar,LA3_5
1,0,113.0337,6.6988,DN625_polar,LA3_5
1,0,113.0337,6.6988,DN626_polar,LA3_5
1,0,113.034,6.7023,DN1643_polar,LA31_17
1,0,113.034,6.7023,DN1672_polar,LA31_17
1,0,113.034,6.7023,DN1893_polar,LA31_17
1,4783.9699,113.034,6.7023,DN716_polar,LA31_17
1,0,113.0358,6.6343,DN1252_polar,T25_40
1,0,113.0358,6.6343,DN1448_polar,T25_40
1,11797.9365,113.0358,6.6343,DN1449_polar,T25_40
1,0,113.0358,6.6343,DN1450_polar,T25_40
1,0,113.0358,6.6343,DN1519_polar,T25_40
1,5758.6612,113.0353,6.6628,DN1424_polar,T51_12
1,0,113.0353,6.6628,DN1425_polar,T51_12
1,0,113.0353,6.6628,DN1426_polar,T51_12
1,0,113.0353,6.6628,DN1427_polar,T51_12
1,12753.313,113.0353,6.6628,DN2396_polar,T51_12
1,9702.6608,113.0337,6.7783,DN1042_polar,T58_14
1,0,113.0337,6.7783,DN1043_polar,T58_14
1,10376.6326,113.0337,6.7783,DN1044_polar,T58_14
1,0,113.0337,6.7783,DN1267_polar,T58_14
1,0,113.0337,6.7783,DN1483_polar,T58_14
1,6640.931,113.0346,6.6844,DN938_polar,T72_15
1,0,113.0346,6.6844,DN939_polar,T72_15
1,0,113.0346,6.6844,DN941_polar,T72_15
1,10473.7396,113.0346,6.6844,DN966_polar,T72_15
1,3005.9914,113.0346,6.6844,DN967_polar,T72_15
1,0,113.0348,6.6735,DN2145_polar,T75_13
1,9225.3246,113.0348,6.6735,DN2154_polar,T75_13
1,30939.5364,113.0348,6.6735,DN2169_polar,T75_13
1,14016.7845,113.0348,6.6735,DN2179_polar,T75_13
1,0,113.0348,6.681,DN2163_polar,T76_11
1,0,113.0348,6.681,DN2171_polar,T76_11
1,15950.9522,113.0348,6.681,DN2190_polar,T76_11
1,36618.6636,113.0348,6.681,DN2191_polar,T76_11
1,11591.3094,113.0348,6.681,DN2210_polar,T76_11
1,0,113.0356,6.7095,DN2135_polar,Zygl_13
1,12573.5651,113.0356,6.7095,DN2137_polar,Zygl_13
1,0,113.0356,6.7095,DN2138_polar,Zygl_13
2,206.6969,115.0028,4.0369,DN1250_polar_2,N1_8
2,46021.4449,115.0028,4.0369,DN1308_polar,N1_8
2,47152.997,115.0028,4.0369,DN1310_polar,N1_8
2,28665.5021,115.0028,4.0369,DN1311_polar,N1_8
2,53401.1449,115.0028,4.0369,DN2133_polar,N1_8
2,776.38,115.0033,4.0278,DN1248_polar_2,N10_10
2,556.3494,115.0033,4.0278,DN1369_polar,N10_10
2,5475.8419,115.0033,4.0278,DN1857_polar,N10_10
2,316.0797,115.0032,4.0606,DN1274_polar_2,N11_3
2,7795.7804,115.0032,4.0606,DN1522_polar,N11_3
2,1468.6936,115.0032,4.0606,DN1551_polar,N11_3
2,5237.3814,115.0032,4.0606,DN1552_polar,N11_3
2,9328.9316,115.0032,4.0606,DN1668_polar,N11_3
2,2490.1195,115.003,4.0658,DN1543_polar,N12_6
2,3218.0887,115.003,4.0658,DN1544_polar,N12_6
2,31008.6629,115.003,4.0658,DN1553_polar,N12_6
2,15137.407,115.003,4.0658,DN1696_polar,N12_6
2,3893.8751,115.003,4.0658,DN1702_polar,N12_6
2,24325.9088,115.0028,4.0676,DN1545_polar,N13_6
2,37992.4342,115.0028,4.0676,DN1546_polar,N13_6
2,12318.2432,115.0028,4.0676,DN1692_polar,N13_6
2,18340.7064,115.0028,4.0676,DN1703_polar,N13_6
2,15328.2641,115.0028,4.0676,DN1899_polar,N13_6
2,3391.6484,115.0031,4.0448,DN1286_polar_2,N14_11
2,15904.15,115.0031,4.0448,DN1287_polar_2,N14_11
2,19108.505,115.0031,4.0448,DN1295_polar_2,N14_11
2,16044.0211,115.0031,4.0448,DN1444_polar,N14_11
2,19367.7362,115.0031,4.0448,DN1445_polar,N14_11
2,8461.1452,115.0034,4.0492,DN1795_polar,N15_16
2,1070.9884,115.0034,4.0492,DN1820_polar,N15_16
2,2912.1693,115.0034,4.0492,DN1835_polar,N15_16
2,5648.0663,115.0034,4.0492,DN1854_polar,N15_16
2,9115.0946,115.0034,4.0492,DN1855_polar,N15_16
2,2716.9931,115.003,4.0527,DN1770_polar,N16_14
2,2814.2584,115.003,4.0527,DN1771_polar,N16_14
2,4059.1335,115.003,4.0527,DN1772_polar,N16_14
2,6091.6049,115.003,4.0527,DN1865_polar,N16_14
2,895.3294,115.003,4.0527,DN1882_polar,N16_14
2,10213.9792,115.003,4.0528,DN1818_polar,N19_8
2,17740.5363,115.003,4.0528,DN1839_polar,N19_8
2,8225.8674,115.003,4.0528,DN1847_polar,N19_8
2,26851.1307,115.003,4.0528,DN1861_polar,N19_8
2,20398.3901,115.003,4.0528,DN1867_polar,N19_8
2,1241.0602,115.0031,4.0334,DN1631_polar,N20_24
2,9944.2503,115.0031,4.0334,DN1721_polar,N20_24
2,9604.881,115.0031,4.0334,DN2141_polar,N20_24
2,10193.4467,115.0032,4.0421,DN1726_polar,N21_8
2,43990.0781,115.0032,4.0421,DN1727_polar,N21_8
2,8786.6733,115.0032,4.0421,DN1851_polar,N21_8
2,21240.556,115.0032,4.0421,DN1873_polar,N21_8
2,6541.6287,115.0032,4.0421,DN1888_polar,N21_8
2,24972.725,115.0029,4.0492,DN1797_polar,N22_13
2,12286.4011,115.0029,4.0492,DN1801_polar,N22_13
2,29661.3709,115.0029,4.0492,DN1802_polar,N22_13
2,35176.6996,115.0029,4.0492,DN1822_polar,N22_13
2,41015.9704,115.0029,4.0492,DN1869_polar,N22_13
2,8027.076,115.0034,4.0348,DN1804_polar,N23_3
2,283.3234,115.0034,4.0348,DN1805_polar,N23_3
2,3242.6504,115.0034,4.0348,DN1819_polar,N23_3
2,6582.6112,115.0034,4.0348,DN1856_polar,N23_3
2,8905.6863,115.0034,4.0348,DN1864_polar,N23_3
2,495.5962,115.0035,4.0529,DN1269_polar_2,N25_33
2,432.1121,115.0035,4.0529,DN1271_polar_2,N25_33
2,448.7228,115.0035,4.0529,DN1288_polar_2,N25_33
2,157.5158,115.0035,4.0529,DN1289_polar_2,N25_33
2,6957.0953,115.0035,4.0529,DN1312_polar,N25_33
2,2627.3647,115.0032,4.06,DN1338_polar,N26_9
2,6766.1412,115.0032,4.06,DN1339_polar,N26_9
2,7976.4347,115.0032,4.06,DN1348_polar,N26_9
2,4741.5941,115.0032,4.06,DN1872_polar,N26_9
2,4698.8944,115.0032,4.06,DN1879_polar,N26_9
2,9985.8973,115.0029,4.057,DN1645_polar,N27_9
2,65066.9781,115.0029,4.057,DN1803_polar,N27_9
2,12953.9523,115.0029,4.057,DN1806_polar,N27_9
2,42184.8528,115.0029,4.057,DN1807_polar,N27_9
2,258.6227,115.003,4.0493,DN1251_polar_2,N28_9
2,20667.9484,115.003,4.0493,DN1823_polar,N28_9
2,18157.7775,115.003,4.0493,DN1838_polar,N28_9
2,22569.7428,115.003,4.0493,DN1840_polar,N28_9
2,8777.2846,115.003,4.0493,DN1841_polar,N28_9
2,405.1531,115.0029,4.0606,DN1653_polar,N29_6
2,1784.385,115.0029,4.0606,DN1654_polar,N29_6
2,9622.2071,115.0029,4.0606,DN1655_polar,N29_6
2,16040.6961,115.0029,4.0606,DN1656_polar,N29_6
2,1780.0677,115.0029,4.0606,DN1657_polar,N29_6
2,28303.4563,115.0031,4.0818,DN1303_polar,N3_8
2,22624.7219,115.0031,4.0818,DN1304_polar,N3_8
2,26808.8258,115.0031,4.0818,DN1305_polar,N3_8
2,41621.1512,115.0031,4.0818,DN1306_polar,N3_8
2,25917.1381,115.0031,4.0818,DN1307_polar,N3_8
2,34289.5816,115.003,4.0714,DN1332_polar,N31_5
2,55779.3399,115.003,4.0714,DN1333_polar,N31_5
2,45035.1488,115.003,4.0714,DN1334_polar,N31_5
2,56393.9766,115.003,4.0714,DN1345_polar,N31_5
2,25633.8005,115.003,4.0714,DN1471_polar,N31_5
2,15550.2017,115.0028,4.0423,DN1633_polar,N32_9
2,23642.8488,115.0028,4.0423,DN1814_polar,N32_9
2,40711.2914,115.0028,4.0423,DN2160_polar,N32_9
2,36692.3811,115.0028,4.0423,DN2164_polar,N32_9
2,35138.6751,115.0028,4.0423,DN2192_polar,N32_9
2,10170.2159,115.0033,4.0743,DN1335_polar,N34_5
2,19426.2889,115.0033,4.0743,DN1336_polar,N34_5
