cluster index	AllFiles	sum(precursor intensity)	RTMean	RTStdErr	parent mass	ScanNumber	ProteosafeFilePath	Original_Path	internalFilename
1	saponins_merged_spectra_2017_09_22.mgf	0	0	0	675.358	1036	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
2	saponins_merged_spectra_2017_09_22.mgf	0	0	0	675.361	2523	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
3	saponins_merged_spectra_2017_09_22.mgf	0	0	0	617.404	4856	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
4	saponins_merged_spectra_2017_09_22.mgf	0	0	0	905.42	4857	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
5	saponins_merged_spectra_2017_09_22.mgf	0	0	0	595.289	3610	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
6	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1566.73	2552	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
7	saponins_merged_spectra_2017_09_22.mgf	0	0	0	806.47	180	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
8	saponins_merged_spectra_2017_09_22.mgf	0	0	0	836.481	147	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
9	saponins_merged_spectra_2017_09_22.mgf	0	0	0	674.428	398	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
10	saponins_merged_spectra_2017_09_22.mgf	0	0	0	968.523	6	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
11	saponins_merged_spectra_2017_09_22.mgf	0	0	0	822.37	724	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
12	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1059.54	512	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
13	saponins_merged_spectra_2017_09_22.mgf	0	0	0	1043.54	25	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
14	saponins_merged_spectra_2017_09_22.mgf	0	0	0	881.489	559	spec/spec-00000.mgf	f.gordonyounkin/all_inga/saponins_merged_spectra_2017_09_22.mgf	spec-00000.mgf
