cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	G1	G2	G3	G4	G5	G6	AllFiles	AllGroups	DefaultGroups	RTMean	RTStdErr	ProteoSAFeClusterLink	UniqueFileSourcesCount	EvenOdd	LibraryID	NumberOrganismIDs	AllOrganisms
1	1	675.358	1	675.358	0	1	0	0	0	0	0	saponins_merged_spectra_2017_09_22.mgf:1036###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=24fec195ad3045018c454ae763f0d5b8&view=cluster_details&protein=1	1	0	N/A	0	N/A
2	1	675.361	1	675.361	0	1	0	0	0	0	0	saponins_merged_spectra_2017_09_22.mgf:2523###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=24fec195ad3045018c454ae763f0d5b8&view=cluster_details&protein=2	1	0	N/A	0	N/A
3	1	617.404	1	617.404	0	1	0	0	0	0	0	saponins_merged_spectra_2017_09_22.mgf:4856###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=24fec195ad3045018c454ae763f0d5b8&view=cluster_details&protein=3	1	0	N/A	0	N/A
4	1	905.42	1	905.42	0	1	0	0	0	0	0	saponins_merged_spectra_2017_09_22.mgf:4857###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=24fec195ad3045018c454ae763f0d5b8&view=cluster_details&protein=4	1	1	N/A	0	N/A
5	1	595.289	1	595.289	0	1	0	0	0	0	0	saponins_merged_spectra_2017_09_22.mgf:3610###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=24fec195ad3045018c454ae763f0d5b8&view=cluster_details&protein=5	1	1	N/A	0	N/A
6	1	1566.73	1	1566.73	0	1	0	0	0	0	0	saponins_merged_spectra_2017_09_22.mgf:2552###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=24fec195ad3045018c454ae763f0d5b8&view=cluster_details&protein=6	1	0	N/A	0	N/A
7	1	806.47	1	806.47	0	1	0	0	0	0	0	saponins_merged_spectra_2017_09_22.mgf:180###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=24fec195ad3045018c454ae763f0d5b8&view=cluster_details&protein=7	1	1	N/A	0	N/A
8	1	836.481	1	836.481	0	1	0	0	0	0	0	saponins_merged_spectra_2017_09_22.mgf:147###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=24fec195ad3045018c454ae763f0d5b8&view=cluster_details&protein=8	1	1	N/A	0	N/A
9	1	674.428	1	674.428	0	1	0	0	0	0	0	saponins_merged_spectra_2017_09_22.mgf:398###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=24fec195ad3045018c454ae763f0d5b8&view=cluster_details&protein=9	1	1	NCGC00347780-02_C38H61NO9_3-[(2-Acetamido-2-deoxyhexopyranosyl)oxy]-16-hydroxyolean-12-en-28-oic acid	1	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_NEGATIVE;
10	1	968.523	1	968.523	0	1	0	0	0	0	0	saponins_merged_spectra_2017_09_22.mgf:6###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=24fec195ad3045018c454ae763f0d5b8&view=cluster_details&protein=10	1	1	N/A	0	N/A
