cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	G1	G2	G3	G4	G5	G6	AllFiles	AllGroups	DefaultGroups	RTMean	RTStdErr	ProteoSAFeClusterLink	UniqueFileSourcesCount	EvenOdd	LibraryID	NumberOrganismIDs	AllOrganisms	componentindex
1200	1	1086.56	1	1086.56	0	1	0	0	0	0	0	saponins_merged_spectra_2017_09_22.mgf:608###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=24fec195ad3045018c454ae763f0d5b8&view=cluster_details&protein=1200	1	1	N/A	0	N/A	1
1175	1	1308.62	1	1308.62	0	1	0	0	0	0	0	saponins_merged_spectra_2017_09_22.mgf:1710###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=24fec195ad3045018c454ae763f0d5b8&view=cluster_details&protein=1175	1	0	N/A	0	N/A	-1
1269	1	1963.87	1	1963.87	0	1	0	0	0	0	0	saponins_merged_spectra_2017_09_22.mgf:591###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=24fec195ad3045018c454ae763f0d5b8&view=cluster_details&protein=1269	1	1	N/A	0	N/A	1
1183	1	859.185	1	859.185	0	1	0	0	0	0	0	saponins_merged_spectra_2017_09_22.mgf:3766###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=24fec195ad3045018c454ae763f0d5b8&view=cluster_details&protein=1183	1	1	Afzelechin_Gallocatechin_Type_B_Gallate_Cinnamate	1	PRIVATE-USER;	2
1268	1	1889.86	1	1889.86	0	1	0	0	0	0	0	saponins_merged_spectra_2017_09_22.mgf:2###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=24fec195ad3045018c454ae763f0d5b8&view=cluster_details&protein=1268	1	1	N/A	0	N/A	1
1321	1	1378.67	1	1378.67	0	1	0	0	0	0	0	saponins_merged_spectra_2017_09_22.mgf:3117###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=24fec195ad3045018c454ae763f0d5b8&view=cluster_details&protein=1321	1	0	N/A	0	N/A	1
1256	1	1191.56	1	1191.56	0	1	0	0	0	0	0	saponins_merged_spectra_2017_09_22.mgf:111###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=24fec195ad3045018c454ae763f0d5b8&view=cluster_details&protein=1256	1	1	N/A	0	N/A	1
1144	1	1589.78	1	1589.78	0	1	0	0	0	0	0	saponins_merged_spectra_2017_09_22.mgf:1845###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=24fec195ad3045018c454ae763f0d5b8&view=cluster_details&protein=1144	1	1	N/A	0	N/A	1
1162	1	1786.8	1	1786.8	0	1	0	0	0	0	0	saponins_merged_spectra_2017_09_22.mgf:1514###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=24fec195ad3045018c454ae763f0d5b8&view=cluster_details&protein=1162	1	0	N/A	0	N/A	1
1218	1	749.447	1	749.447	0	1	0	0	0	0	0	saponins_merged_spectra_2017_09_22.mgf:2027###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=24fec195ad3045018c454ae763f0d5b8&view=cluster_details&protein=1218	1	0	N/A	0	N/A	1
1145	1	943.461	1	943.461	0	1	0	0	0	0	0	saponins_merged_spectra_2017_09_22.mgf:1093###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=24fec195ad3045018c454ae763f0d5b8&view=cluster_details&protein=1145	1	1	N/A	0	N/A	1
344	1	797.469	1	797.469	0	1	0	0	0	0	0	saponins_merged_spectra_2017_09_22.mgf:27###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=24fec195ad3045018c454ae763f0d5b8&view=cluster_details&protein=344	1	0	"3-O-beta-d-glucopyranosyl-29-O-beta-d-glucopyranosyl-3beta,6beta,23,29-tetrahydroxyolean-12-ene"	1	null;	1
345	1	843.473	1	843.473	0	1	0	0	0	0	0	saponins_merged_spectra_2017_09_22.mgf:2514###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=24fec195ad3045018c454ae763f0d5b8&view=cluster_details&protein=345	1	0	N/A	0	N/A	1
