cluster index	AllFiles	sum(precursor intensity)	RTMean	RTStdErr	parent mass	ScanNumber	ProteosafeFilePath	Original_Path	internalFilename
1	sap_spectra_2017_11_16.mgf	0	0	0	1191.56	100	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
2	sap_spectra_2017_11_16.mgf	0	0	0	727.203	1000	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
3	sap_spectra_2017_11_16.mgf	0	0	0	925.408	1001	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
4	sap_spectra_2017_11_16.mgf	0	0	0	1035.47	1002	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
5	sap_spectra_2017_11_16.mgf	0	0	0	1812.89	1003	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
6	sap_spectra_2017_11_16.mgf	0	0	0	839.479	1007	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
7	sap_spectra_2017_11_16.mgf	0	0	0	1125.51	101	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
8	sap_spectra_2017_11_16.mgf	0	0	0	1126.01	1013	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
9	sap_spectra_2017_11_16.mgf	0	0	0	1506.69	1015	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
10	sap_spectra_2017_11_16.mgf	0	0	0	1101.52	1017	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
11	sap_spectra_2017_11_16.mgf	0	0	0	1142.52	1019	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
12	sap_spectra_2017_11_16.mgf	0	0	0	1855.9	102	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
13	sap_spectra_2017_11_16.mgf	0	0	0	1634.79	1020	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
14	sap_spectra_2017_11_16.mgf	0	0	0	893.415	1021	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
15	sap_spectra_2017_11_16.mgf	0	0	0	839.397	1026	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
16	sap_spectra_2017_11_16.mgf	0	0	0	943.46	1029	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
17	sap_spectra_2017_11_16.mgf	0	0	0	1588.79	103	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
18	sap_spectra_2017_11_16.mgf	0	0	0	1055.49	1030	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
19	sap_spectra_2017_11_16.mgf	0	0	0	877.892	1031	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
20	sap_spectra_2017_11_16.mgf	0	0	0	841.459	1033	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
21	sap_spectra_2017_11_16.mgf	0	0	0	1261.59	1035	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
22	sap_spectra_2017_11_16.mgf	0	0	0	1104.5	1036	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
23	sap_spectra_2017_11_16.mgf	0	0	0	632.417	1046	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
24	sap_spectra_2017_11_16.mgf	0	0	0	923.425	1049	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
25	sap_spectra_2017_11_16.mgf	0	0	0	1690.82	105	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
26	sap_spectra_2017_11_16.mgf	0	0	0	1306.65	1052	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
27	sap_spectra_2017_11_16.mgf	0	0	0	1771.87	1055	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
28	sap_spectra_2017_11_16.mgf	0	0	0	1862.83	1056	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
29	sap_spectra_2017_11_16.mgf	0	0	0	1858.84	1057	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
30	sap_spectra_2017_11_16.mgf	0	0	0	761.135	1058	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
31	sap_spectra_2017_11_16.mgf	0	0	0	820.486	1060	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
32	sap_spectra_2017_11_16.mgf	0	0	0	590.8	1061	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
33	sap_spectra_2017_11_16.mgf	0	0	0	1384.69	1062	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
34	sap_spectra_2017_11_16.mgf	0	0	0	1066.96	1064	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
35	sap_spectra_2017_11_16.mgf	0	0	0	968.519	1065	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
36	sap_spectra_2017_11_16.mgf	0	0	0	624.306	1067	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
37	sap_spectra_2017_11_16.mgf	0	0	0	1889.85	107	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
38	sap_spectra_2017_11_16.mgf	0	0	0	1193.54	1072	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
39	sap_spectra_2017_11_16.mgf	0	0	0	1152.01	1073	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
40	sap_spectra_2017_11_16.mgf	0	0	0	1049.96	1076	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
41	sap_spectra_2017_11_16.mgf	0	0	0	1263.62	1080	spec/spec-00000.mgf	f.gordonyounkin/all_inga/sap_spectra_2017_11_16.mgf	spec-00000.mgf
