cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	G1	G2	G3	G4	G5	G6	AllFiles	AllGroups	DefaultGroups	RTMean	RTStdErr	ProteoSAFeClusterLink	UniqueFileSourcesCount	EvenOdd
1	1	1191.56	1	1191.56	0	1	0	0	0	0	0	sap_spectra_2017_11_16.mgf:100###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=be1dfe6010a341f7936f7c4a490cfc1f&view=cluster_details&protein=1	1	1
2	1	727.203	1	727.203	0	1	0	0	0	0	0	sap_spectra_2017_11_16.mgf:1000###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=be1dfe6010a341f7936f7c4a490cfc1f&view=cluster_details&protein=2	1	1
3	1	925.408	1	925.408	0	1	0	0	0	0	0	sap_spectra_2017_11_16.mgf:1001###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=be1dfe6010a341f7936f7c4a490cfc1f&view=cluster_details&protein=3	1	1
4	1	1035.47	1	1035.47	0	1	0	0	0	0	0	sap_spectra_2017_11_16.mgf:1002###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=be1dfe6010a341f7936f7c4a490cfc1f&view=cluster_details&protein=4	1	1
5	1	1812.89	1	1812.89	0	1	0	0	0	0	0	sap_spectra_2017_11_16.mgf:1003###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=be1dfe6010a341f7936f7c4a490cfc1f&view=cluster_details&protein=5	1	0
6	1	839.479	1	839.479	0	1	0	0	0	0	0	sap_spectra_2017_11_16.mgf:1007###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=be1dfe6010a341f7936f7c4a490cfc1f&view=cluster_details&protein=6	1	0
7	1	1125.51	1	1125.51	0	1	0	0	0	0	0	sap_spectra_2017_11_16.mgf:101###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=be1dfe6010a341f7936f7c4a490cfc1f&view=cluster_details&protein=7	1	1
8	1	1126.01	1	1126.01	0	1	0	0	0	0	0	sap_spectra_2017_11_16.mgf:1013###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=be1dfe6010a341f7936f7c4a490cfc1f&view=cluster_details&protein=8	1	0
9	1	1506.69	1	1506.69	0	1	0	0	0	0	0	sap_spectra_2017_11_16.mgf:1015###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=be1dfe6010a341f7936f7c4a490cfc1f&view=cluster_details&protein=9	1	0
10	1	1101.52	1	1101.52	0	1	0	0	0	0	0	sap_spectra_2017_11_16.mgf:1017###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=be1dfe6010a341f7936f7c4a490cfc1f&view=cluster_details&protein=10	1	1
11	1	1142.52	1	1142.52	0	1	0	0	0	0	0	sap_spectra_2017_11_16.mgf:1019###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=be1dfe6010a341f7936f7c4a490cfc1f&view=cluster_details&protein=11	1	0
12	1	1855.9	1	1855.9	0	1	0	0	0	0	0	sap_spectra_2017_11_16.mgf:102###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=be1dfe6010a341f7936f7c4a490cfc1f&view=cluster_details&protein=12	1	1
13	1	1634.79	1	1634.79	0	1	0	0	0	0	0	sap_spectra_2017_11_16.mgf:1020###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=be1dfe6010a341f7936f7c4a490cfc1f&view=cluster_details&protein=13	1	0
14	1	893.415	1	893.415	0	1	0	0	0	0	0	sap_spectra_2017_11_16.mgf:1021###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=be1dfe6010a341f7936f7c4a490cfc1f&view=cluster_details&protein=14	1	1
15	1	839.397	1	839.397	0	1	0	0	0	0	0	sap_spectra_2017_11_16.mgf:1026###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=be1dfe6010a341f7936f7c4a490cfc1f&view=cluster_details&protein=15	1	1
