#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags
1043	M-H	N/A	-1	3-O-(beta-D-glucopyranosyl)-oleanolic_acid-28-O-beta-D-glucopyranoside|3-O-beta-D-glucopyranosyl_oleanoic_acid-28-O-beta-D-glycopyranoside|3-O-beta-D-glucopyranosyl-3-beta-hydroxyolean-12-en-28-oic_acid_28-O-beta-D-glucopyranoside|3-O-beta-D-glucopyranosyl-3beta-hydroxyolean-12-en-28-oic_acid_28-O-beta-D-glucopyranoside|3-O-beta-D-glucopyranosyl-oleanolic_acid-28-O-beta-D-glucopyranoside|3-O-beta-D-glucuropyranosyl_oleanolic_acid_28-O-beta-D-glucopyranoside|lucyoside	Other	GCYounkin	780.466	N/A	N/A	qTof	Negative	LC-ESI	779.459	lib-00026.mgf	Bronze	3	0.461042	0.0783045	6.10352e-05	PRIVATE-USER	TAKursar	779.459	N/A	0	7	C12(C([H])([H])[H])C(=C([H])C([H])([H])C([H])(C3(C([H])([H])[H])C([H])(C(C([H])([H])[H])(C([H])([H])[H])C([H])(OC4([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C([H])(O[H])C4([H])O[H])C([H])([H])C3([H])[H])C([H])([H])C5([H])[H])C15C([H])([H])[H])C6([H])C(C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C6([H])[H])(C(=O)OC7([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C([H])(O[H])C7([H])O[H])C([H])([H])C2([H])[H]	1	779.459	spectra/specs_ms.pklbin	CCMSLIB00001722728	273890	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1047	M-H	N/A	-1	name_unknown	Other	GCYounkin	780.43	N/A	N/A	qTof	Negative	LC-ESI	779.422	lib-00026.mgf	Bronze	3	0.28707	0.391541	0.000305176	PRIVATE-USER	TAKursar	779.422	N/A	0	6	C12(C([H])([H])[H])C(=C([H])C([H])([H])C([H])(C3(C([H])([H])[H])C([H])(C(C([H])([H])[H])(C([H])([H])O[H])C([H])(OC4([H])OC([H])(C(=O)O[H])C([H])(O[H])C([H])(OC5([H])OC([H])([H])C([H])(O[H])C([H])(O[H])C5([H])O[H])C4([H])O[H])C([H])([H])C3([H])[H])C([H])([H])C6([H])[H])C16C([H])([H])[H])C7([H])C(C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C7([H])[H])(C(=O)O[H])C([H])([H])C2([H])[H]	1	779.422	spectra/specs_ms.pklbin	CCMSLIB00002021562	96585.7	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1077	M-H	N/A	-1	3-O-[beta-D-glucopyranosyl-(1->3)-alpha-L-arabinopyranosyl]-ursolic_acid-28-O-[beta-D-glucopyranosyl]_ester	Other	GCYounkin	1044.55	N/A	N/A	qTof	Negative	LC-ESI	1043.54	lib-00025.mgf	Bronze	3	0.379356	3.0414	0.00317383	null	TAKursar	1043.54	N/A	0	13	C12(C([H])([H])[H])C(=C([H])C([H])([H])C([H])(C3(C([H])([H])[H])C([H])(C(C([H])([H])[H])(C([H])([H])[H])C([H])(OC4([H])OC([H])([H])C([H])(O[H])C([H])(OC5([H])OC([H])([H])C([H])(O[H])C([H])(O[H])C5([H])O[H])C4([H])OC6([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C([H])(O[H])C6([H])O[H])C([H])([H])C3([H])[H])C([H])([H])C7([H])[H])C17C([H])([H])[H])C8([H])C(C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C8([H])[H])(C(=O)OC9([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C([H])(O[H])C9([H])O[H])C([H])([H])C2([H])[H]	1	1043.54	spectra/specs_ms.pklbin	CCMSLIB00001614425	214613	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1078	M-H	N/A	-1	3-O-(beta-D-galactopyranosyl-(1->3)-beta-D-glucopyranosyl)serjanic_acid_28-O-beta-D-glucopyranoside	Other	GCYounkin	986.509	N/A	N/A	qTof	Negative	LC-ESI	985.501	lib-00025.mgf	Bronze	3	0.355931	10.5906	0.010437	null	TAKursar	985.501	N/A	0	6	C12(C([H])([H])[H])C(=C([H])C([H])([H])C([H])(C3(C([H])([H])[H])C([H])(C(C([H])([H])[H])(C([H])([H])[H])C([H])(OC4([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C([H])(OC5([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C([H])(O[H])C5([H])O[H])C4([H])O[H])C([H])([H])C3([H])[H])C([H])([H])C6([H])[H])C16C([H])([H])[H])C7([H])C(C([H])([H])C([H])([H])C(C([H])([H])[H])(C(=O)OC([H])([H])[H])C7([H])[H])(C(=O)OC8([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C([H])(O[H])C8([H])O[H])C([H])([H])C2([H])[H]	1	985.512	spectra/specs_ms.pklbin	CCMSLIB00001608076	43787.9	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1156	M-H	N/A	-1	hederoside_D2	Other	GCYounkin	766.45	N/A	N/A	qTof	Negative	LC-ESI	765.443	lib-00026.mgf	Bronze	3	0.420671	2.31241	0.00177002	PRIVATE-USER	TAKursar	765.443	N/A	0	10	C12(C([H])([H])[H])C(=C([H])C([H])([H])C([H])(C3(C([H])([H])[H])C([H])(C(C([H])([H])[H])(C([H])([H])O[H])C([H])(OC4([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C([H])(O[H])C4([H])OC5([H])OC([H])([H])C([H])(O[H])C([H])(O[H])C5([H])O[H])C([H])([H])C3([H])[H])C([H])([H])C6([H])[H])C16C([H])([H])[H])C7([H])C(C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C7([H])[H])(C(=O)O[H])C([H])([H])C2([H])[H]	1	765.445	spectra/specs_ms.pklbin	CCMSLIB00001935336	109975	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1157	M+FA-H	n/a	1	NCGC00381003-01_C48H78O17_(3beta,5xi,9xi,18xi)-22-Hydroxyolean-12-en-3-yl 6-deoxy-alpha-L-mannopyranosyl-(1->2)hexopyranosyl-(1->2)-beta-D-glucopyranosiduronic acid	isolated	lfnothias	926.524	InChI=1S/C48H78O17/c1-21-29(51)31(53)35(57)40(60-21)64-37-32(54)30(52)24(20-49)61-41(37)65-38-34(56)33(55)36(39(58)59)63-42(38)62-28-13-14-46(7)25(44(28,4)5)12-15-48(9)26(46)11-10-22-23-18-43(2,3)19-27(50)45(23,6)16-17-47(22,48)8/h10,21,23-38,40-42,49-57H,11-20H2,1-9H3,(H,58,59)/t21-,23?,24?,25?,26?,27?,28-,29-,30?,31+,32?,33-,34-,35+,36-,37?,38+,40-,41?,42+,45+,46-,47+,48+/m0/s1	N/A	Maxis II HD Q-TOF Bruker	negative	LC-ESI	971.522	lib-00017.mgf	Gold	1	0.285878	3.58098	0.003479	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_NEGATIVE	Jadhav/Dorrestein	971.522	n/a	0	7	C[C@@H]1O[C@@H](OC2C(O)C(O)C(CO)OC2O[C@@H]3[C@@H](O)[C@H](O)[C@H](O[C@H]3O[C@H]4CC[C@@]5(C)C(CC[C@]6(C)C5C\C=C/7C8CC(C)(C)CC(O)[C@]8(C)CC[C@@]67C)C4(C)C)C(O)=O)[C@H](O)[C@H](O)[C@H]1O	1	971.518	spectra/specs_ms.pklbin	CCMSLIB00000851265	1.11694e+06	UPDATE-SINGLE-ANNOTATED-GOLD	 
1167	M-H	N/A	-1	Myricetin_Coumarate_Coumarate	Other	GCYounkin	594.137	N/A	N/A	qTof	Negative	LC-ESI	593.13	lib-00025.mgf	Bronze	3	0.400096	1.44065	0.000854492	null	TAKursar	593.13	N/A	0	6	c12c(c(cc(c1)O)OC1C(O)OC(C(C1O)O)C)c(=O)c(c(o2)c1cc(c(c(c1)O)O)O)OC(=O)/C=C/c1ccccc1	1	593.129	spectra/specs_ms.pklbin	CCMSLIB00001638981	167772	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1178	M-H	N/A	-1	"25-O-beta-D-allopyranosyl-5beta,19-epoxycucurbita-6,24-diene-3beta,23xi-diol_3-O-beta-D-glucopyranoside|goyaglycoside-f"	Other	GCYounkin	780.466	N/A	N/A	qTof	Negative	LC-ESI	779.459	lib-00025.mgf	Bronze	3	0.481047	0.783045	0.000610352	null	TAKursar	779.459	N/A	0	7	C12(C3([H])C4(C([H])([H])[H])C(C([H])([H])[H])(C([H])(C([H])(C([H])([H])[H])C([H])([H])C([H])(C([H])=C(/C([H])([H])[H])C([H])([H])[H])OC5([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C([H])(O[H])C5([H])O[H])C([H])([H])C4([H])[H])C([H])([H])C1([H])[H])C6([H])C(C([H])=C3[H])(C(C([H])([H])[H])(C([H])([H])[H])C([H])(OC7([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C([H])(O[H])C7([H])O[H])C([H])([H])C6([H])[H])OC2([H])[H]	1	779.459	spectra/specs_ms.pklbin	CCMSLIB00001558087	165926	UPDATE-SINGLE-ANNOTATED-BRONZE	 
125	M+FA-H	n/a	1	NCGC00380668-01_C48H78O18_(3beta,5xi,9xi,22beta)-22,24-Dihydroxyolean-12-en-3-yl 6-deoxy-alpha-L-mannopyranosyl-(1->2)-beta-D-galactopyranosyl-(1->2)-beta-D-glucopyranosiduronic acid	isolated	lfnothias	942.519	InChI=1S/C48H78O18/c1-21-29(52)31(54)35(58)40(61-21)65-37-32(55)30(53)24(19-49)62-41(37)66-38-34(57)33(56)36(39(59)60)64-42(38)63-28-12-13-45(5)25(46(28,6)20-50)11-14-48(8)26(45)10-9-22-23-17-43(2,3)18-27(51)44(23,4)15-16-47(22,48)7/h9,21,23-38,40-42,49-58H,10-20H2,1-8H3,(H,59,60)/t21-,23-,24+,25?,26?,27+,28-,29-,30-,31+,32-,33-,34-,35+,36-,37+,38+,40-,41-,42+,44+,45-,46+,47+,48+/m0/s1	N/A	Maxis II HD Q-TOF Bruker	negative	LC-ESI	987.517	lib-00017.mgf	Gold	1	0.666171	3.09033	0.00305176	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_NEGATIVE	Jadhav/Dorrestein	987.517	n/a	0	6	C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@@H](O)[C@@H](CO)O[C@H]2O[C@@H]3[C@@H](O)[C@H](O)[C@H](O[C@H]3O[C@H]4CC[C@@]5(C)C(CC[C@]6(C)C5C\C=C/7[C@@H]8CC(C)(C)C[C@@H](O)[C@]8(C)CC[C@@]67C)[C@@]4(C)CO)C(O)=O)[C@H](O)[C@H](O)[C@H]1O	1	987.514	spectra/specs_ms.pklbin	CCMSLIB00000849764	445813	UPDATE-SINGLE-ANNOTATED-GOLD	 
129	M-H	N/A	-1	3-O-(3-beta-D-galactopyranosyl-beta-D-glucopyranosyl)-oleanolic_acid|3-O-beta-D-galactopyranosyl-(1->3)-beta-D-glucopyranosyloleanolic_acid|arvensoside_A|arvensoside_B|oleanolic_acid_3-O-beta-D-galactopyranosyl-(1->3)-beta-D-glucopyranoside	Other	GCYounkin	780.466	N/A	N/A	qTof	Negative	LC-ESI	779.459	lib-00026.mgf	Bronze	3	0.31347	0.0783045	6.10352e-05	PRIVATE-USER	TAKursar	779.459	N/A	0	7	C12(C([H])([H])[H])C(=C([H])C([H])([H])C([H])(C3(C([H])([H])[H])C([H])(C(C([H])([H])[H])(C([H])([H])[H])C([H])(OC4([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C([H])(OC5([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C([H])(O[H])C5([H])O[H])C4([H])O[H])C([H])([H])C3([H])[H])C([H])([H])C6([H])[H])C16C([H])([H])[H])C7([H])C(C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C7([H])[H])(C(=O)O[H])C([H])([H])C2([H])[H]	1	779.459	spectra/specs_ms.pklbin	CCMSLIB00001861568	240097	UPDATE-SINGLE-ANNOTATED-BRONZE	 
