"compound","Compound_Name","Smiles","match_type","mz","rt"
1,"dihydromyricetin","OC1C(=C(Oc2cc(O)cc(O)c12)c3cc(O)c(O)c(O)c3)O","in silico UNPD",319.045218,8.268367
15,"Di_Hydro_Myricetin_Gallate","c12c(c(cc(c1)O)O)C(=O)C(C(O2)c1cc(c(c(c1)O)O)O)OC(=O)c1cc(c(c(c1)O)O)O","mass_only",471.055939,11.614329
18,"NCGC00168909-02!(2R,3R)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-2,3-dihydrochromen-4-one","C[C@@H]1O[C@@H](O[C@@H]2[C@H](OC3=C(C2=O)C(O)=CC(O)=C3)C4=CC(O)=C(O)C=C4)[C@H](O)[C@H](O)[C@H]1O","GNPS databases",449.107866,11.491339
20,"AcacicAcid_DiHydroxyPiperidinicAcid_FerulicAcid_Ribopyranoside","COc1cc(C=CC(=O)OC2CC3(C(=O)O)C(O)CC4(C(=CCC5C4(C)CCC4C5(C)CCC(C4(C)C)OC(=O)C4NCC(C(C4)O)OC4OCC(C(C4O)O)O)C3CC2(C)C)C)ccc1O","in silico",938.509671,21.285814
24,"Coumaryl_EchinocysticAcid_Pyranoside_Ribopyranoside_Ribopyranoside","OCC1OC(OC(=O)C23CCC(CC3C3=CCC4C(C3(CC2O)C)(C)CCC2C4(C)CCC(C2(C)C)OC(=O)C=Cc2ccc(cc2)OC2OCC(C(C2O)O)O)(C)C)C(C(C1O)O)OC1OCC(C(C1O)O)O","in silico",1043.5413,24.50605
25,"Di_Hydro_Quercetin_Pentose","c12c(c(cc(c1)O)O)C(=O)C(C(O2)c1cc(c(cc1)O)O)OC1OC(C(C1O)O)CO","mass_only",435.092107,10.040047
26,"1,4-Di-O-galloylquinic acid|1,4-digalloylquinic acid","OC1CC(CC(O)C1OC(=O)c2cc(O)c(O)c(O)c2)(OC(=O)c3cc(O)c(O)c(O)c3)C(=O)O","in silico UNPD",495.077015,5.419135
27,"11-oxomogroside II E|11-oxomogroside IIE|3,24-O-beta-D-glucopyranosyl 11-oxomogrol","CC(CCC(OC1OC(CO)C(O)C(O)C1O)C(C)(C)O)C2CCC3(C)C4CC=C5C(CCC(OC6OC(CO)C(O)C(O)C6O)C5(C)C)C4(C)C(=O)CC23C","in silico UNPD",797.4691,20.4093
29,"(S)-5,7,3',5'-tetrahydroxyflavanone-7-O-(6""-galloyl)-beta-D-glucopyranose","O[C@H]1[C@H](O)[C@@H](COC(=O)c2cc(O)c(O)c(O)c2)O[C@@H](Oc3cc(O)c4C(=O)C[C@H](Oc4c3)c5cc(O)cc(O)c5)[C@@H]1O","in silico UNPD",601.118904,13.907681
31,"Naringenin_Hexose,Eriodictyol_Deoxyhexose",",","mass_only",433.112914,12.690541
32,"Gallocatechin_Deoxyhexose_Cinnamate,Afzelechin_Hexose_Coumarate,Catechin_Hexose_Cinnamate,Catechin_Deoxyhexose_Coumarate","c12c(c(cc(c1)O)O)CC(C(O2)c1cc(c(c(c1)O)OC1C(O)OC(C(C1O)O)C)O)OC(=O)/C=C/c1ccccc1,c12c(c(cc(c1)O)O)CC(C(O2)c1ccc(cc1)O)OC(=O)/C=C/c1ccc(cc1)OC1C(C(C(C(O1)CO)O)O)O,c12c(c(cc(c1)O)OCC1OC(O)C(C(C1O)O)O)CC(C(O2)c1ccc(c(c1)O)O)OC(=O)/C=C/c1ccccc1,c12c(c(cc(c1)O)O)CC(C(O2)c1ccc(c(c1)O)O)OC(=O)/C=C/c1ccc(cc1)OC1C(C(C(C(O1)C)O)O)O","mass_only",581.166003,15.550203
35,"Di_Hydro_Myricetin_Gallate","c12c(c(cc(c1)O)O)C(=O)C(C(O2)c1cc(c(c(c1)O)O)O)OC(=O)c1cc(c(c(c1)O)O)O","mass_only",471.055907,12.195657
41,"Kaempferol 3-O-?-arabinopyranosyl(1'''??'')-?-glucopyranoside","OC1COC(OCC2OC(OC3=C(Oc4cc(O)cc(O)c4C3=O)c5ccc(O)cc5)C(O)C(O)C2O)C(O)C1O","in silico UNPD",579.150375,20.675025
42,"OleanolicLactoneBridge_Pyranoside_Ribopyranoside","OCC1OC(OC2CCC3(C(C2(C)C)CCC2(C3CCC34C2(C)CCC2(C4CC(C)(C)CC2)C(=O)O3)C)C)C(C(C1O)O)OC1OCC(C(C1O)O)O","in silico",749.4489,21.8872
44,"1,6-di-O-galloyl-2-O-p-coumaroyl-beta-D-glucose|4??Ç?Ç?Hydroxy-beta-D-Pyranose-2-Cinnamoyl-1, 6-digalloylglucose","OC1C(O)C(OC(=O)C=Cc2ccc(O)cc2)C(OC(=O)c3cc(O)c(O)c(O)c3)OC1COC(=O)c4cc(O)c(O)c(O)c4","in silico UNPD",629.1137,12.200317
47,"Tyrosine_Gallate","c1(ccc(cc1)OC(=O)c1cc(c(c(c1)O)O)O)CC(C(=O)O)N","in silico",332.076265,9.047457
