"","species_code","sample","phenSumTIC","sapSumTIC","phenTICpct","sapTICpct","percent_extracted","percent_tyrosine","tyr.final.pct","phensap.final.pct","phen.final.pct","sap.final.pct"
"1","COJR","COJR_2146",1129817.1034,1540934.6187,0.423033370736397,0.576966629263603,28.8,0,0,1,0.423033370736397,0.576966629263603
"2","COJR","COJR_2152",800550.0949,1438702.6843,0.357507692894773,0.642492307105227,28.8,0,0,1,0.357507692894773,0.642492307105227
"3","COJR","COJR_2157",876082.6847,1602023.9141,0.35352905525704,0.64647094474296,28.8,0,0,1,0.35352905525704,0.64647094474296
"4","COJR","COJR_2167",905878.9678,1435667.4362,0.386872097111768,0.613127902888232,28.8,0,0,1,0.386872097111768,0.613127902888232
"5","COJR","COJR_2177",830488.2388,1334820.0972,0.383542715368736,0.616457284631264,28.8,0,0,1,0.383542715368736,0.616457284631264
"6","IngA","IngA_1619",295249.4898,5333.3432,0.982256660678955,0.017743339321045,25.54285714,0,0,1,0.982256660678955,0.017743339321045
"7","IngA","IngA_1620",251932.6819,3809.2858,0.985104964061008,0.0148950359389919,25.54285714,0,0,1,0.985104964061008,0.0148950359389919
"8","IngA","IngA_1677",230361.7455,6335.5138,0.973233683318783,0.0267663166812173,25.54285714,0,0,1,0.973233683318783,0.0267663166812173
"9","IngA","IngA_1884",349760.1623,11152.0415,0.969100403415065,0.0308995965849354,25.54285714,0,0,1,0.969100403415065,0.0308995965849354
"10","IngA","IngA_1885",178866.8197,11292.3091,0.940616529055112,0.0593834709448879,25.54285714,0,0,1,0.940616529055112,0.0593834709448879
"11","IngC","IngC_1625",382603.6243,20817.4937,0.948397610409676,0.0516023895903238,26.78,0,0,1,0.948397610409676,0.0516023895903238
"12","IngC","IngC_1626",316748.6911,5057.8489,0.984282951800793,0.0157170481992069,26.78,0,0,1,0.984282951800793,0.0157170481992069
"13","IngC","IngC_1678",564875.1274,28466.8738,0.952022823696237,0.0479771763037631,26.78,0,0,1,0.952022823696237,0.0479771763037631
"14","IngC","IngC_1679",676026.9542,49393.9713,0.931909916623986,0.0680900833760137,26.78,0,0,1,0.931909916623986,0.0680900833760137
"15","IngC","IngC_1681",395756.3862,45787.6173,0.89630112302046,0.10369887697954,26.78,0,0,1,0.89630112302046,0.10369887697954
"16","IngF","IngF_1594",3007741.0783,15052.6674,0.99502027969278,0.00497972030722003,36.8625,0.1146,0.237156604066429,0.762843395933571,0.759044649183612,0.0037987467499591
"17","IngF","IngF_1887",7091431.341,16328.99,0.997702653263535,0.00229734673646525,36.8625,0.1146,0.237156604066429,0.762843395933571,0.761090880147489,0.00175251578608206
"18","IngF","IngF_1595",1295043.3166,11326.6252,0.991329695488559,0.00867030451144142,36.8625,0.1146,0.237156604066429,0.762843395933571,0.756229311396285,0.00661408453728613
"19","IngF","IngF_1598",3450525.3895,12816.4295,0.996299403821567,0.00370059617843341,36.8625,0.1146,0.237156604066429,0.762843395933571,0.760020420577836,0.00282297535573494
"20","IngF","IngF_1886",4806669.3513,8252.2799,0.998286102966552,0.00171389703344836,36.8625,0.1146,0.237156604066429,0.762843395933571,0.761535960900295,0.00130743503327622
"21","IngG","IngG_1592",3618438.0297,4892.5673,0.998649704417242,0.00135029558275772,45.06,0,0,1,0.998649704417242,0.00135029558275772
"22","IngG","IngG_1623",3532055.5619,2703.0807,0.999235285638057,0.000764714361943463,45.06,0,0,1,0.999235285638057,0.000764714361943463
"23","IngG","IngG_1624",3718280.6585,2237.9882,0.999398474134249,0.00060152586575128,45.06,0,0,1,0.999398474134249,0.00060152586575128
"24","IngG","IngG_1680",2727577.3615,22993.6933,0.991640392906821,0.00835960709317939,45.06,0,0,1,0.991640392906821,0.00835960709317939
"25","IngG","IngG_1707",3630401.4889,19076.5913,0.99477278918224,0.00522721081776015,45.06,0,0,1,0.99477278918224,0.00522721081776015
"26","IngM","IngM_1562",270501.43,1910026.7981,0.124053165886186,0.875946834113814,32.12,0,0,1,0.124053165886186,0.875946834113814
"27","IngM","IngM_1563",391247.592,2017469.6736,0.162429853261562,0.837570146738437,32.12,0,0,1,0.162429853261562,0.837570146738437
"28","IngM","IngM_1606",444748.7433,2798217.5717,0.137142572601776,0.862857427398224,32.12,0,0,1,0.137142572601776,0.862857427398224
"29","IngM","IngM_1609",220410.4714,2455124.9269,0.0823799496504684,0.917620050349532,32.12,0,0,1,0.0823799496504684,0.917620050349532
"30","IngM","IngM_1616",327982.9006,2348510.7236,0.122542007062705,0.877457992937296,32.12,0,0,1,0.122542007062705,0.877457992937296
"31","IngMu","IngMu_1561",386921.4504,3078.4585,0.99210651482283,0.00789348517717051,36.94,0,0,1,0.99210651482283,0.00789348517717051
"32","IngMu","IngMu_1586",498256.265,2652.6741,0.994704278776166,0.00529572122383392,36.94,0,0,1,0.994704278776166,0.00529572122383392
"33","IngMu","IngMu_1605",421637.9217,2225.013,0.994750630881243,0.00524936911875725,36.94,0,0,1,0.994750630881243,0.00524936911875725
